"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45", "mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45", "mzVault Library Match: Custom mzVault Library", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2021-09-13", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla/lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla/lps", "Group CV [%]: cla", "Group CV [%]: cla/lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla/lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla/lps) / (ctrl)", "Ratio: (cla/lps) / (lps)", "Ratio: (no2-cla/lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla/lps) / (ctrl)", "Log2 Fold Change: (cla/lps) / (lps)", "Log2 Fold Change: (no2-cla/lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla/lps) / (ctrl)", "P-value: (cla/lps) / (lps)", "P-value: (no2-cla/lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla/lps) / (ctrl)", "Adj. P-value: (cla/lps) / (lps)", "Adj. P-value: (no2-cla/lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Kidney-F-9.raw (F9)", "Peak Rating: Kidney-F-10.raw (F10)", "Peak Rating: Kidney-F-11.raw (F11)", "Peak Rating: Kidney-F-12.raw (F12)", "Peak Rating: Kidney-F-13.raw (F13)", "Peak Rating: Kidney-F-14.raw (F14)", "Peak Rating: Kidney-F-15.raw (F15)", "Peak Rating: Kidney-F-16.raw (F16)", "Peak Rating: Kidney-F-25.raw (F25)", "Peak Rating: Kidney-F-26.raw (F26)", "Peak Rating: Kidney-F-27.raw (F27)", "Peak Rating: Kidney-F-28.raw (F28)", "Peak Rating: Kidney-F-29.raw (F29)", "Peak Rating: Kidney-F-30.raw (F30)", "Peak Rating: Kidney-F-31.raw (F31)", "Peak Rating: Kidney-F-32.raw (F32)", "Peak Rating: Kidney-F-1.raw (F1)", "Peak Rating: Kidney-F-2.raw (F2)", "Peak Rating: Kidney-F-3.raw (F3)", "Peak Rating: Kidney-F-4.raw (F4)", "Peak Rating: Kidney-F-5.raw (F5)", "Peak Rating: Kidney-F-6.raw (F6)", "Peak Rating: Kidney-F-7.raw (F7)", "Peak Rating: Kidney-F-8.raw (F8)", "Peak Rating: Kidney-F-17.raw (F17)", "Peak Rating: Kidney-F-18.raw (F18)", "Peak Rating: Kidney-F-19.raw (F19)", "Peak Rating: Kidney-F-20.raw (F20)", "Peak Rating: Kidney-F-21.raw (F21)", "Peak Rating: Kidney-F-22.raw (F22)", "Peak Rating: Kidney-F-23.raw (F23)", "Peak Rating: Kidney-F-24.raw (F24)", "Peak Rating: Kidney-F-33.raw (F33)", "Peak Rating: Kidney-F-34.raw (F34)", "Peak Rating: Kidney-F-35.raw (F35)", "Peak Rating: Kidney-F-36.raw (F36)", "Peak Rating: Kidney-F-37.raw (F37)", "Peak Rating: Kidney-F-38.raw (F38)", "Peak Rating: Kidney-F-39.raw (F39)", "Peak Rating: Kidney-F-40.raw (F40)"
"1", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.53", "280.23952", "279.23224", "7.660", "1730033222.4075", "119", "4", "0", "97.1", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "541576328.725363", " 685118028.135823", " 697790253.027199", " 1087598819.64617", " 1014802100.39617", "16.9248371564498", " 35.283371695742", " 13.3098607791265", " 27.7138722959499", " 18.3444839720577", "0.776", " 1.559", " 1.454", " 0.630", " 0.933", "-0.37", " 0.64", " 0.54", " -0.67", " -0.10", "0.162907430954076", " 0.0150302762199919", " 0.0989674992110363", " 0.00159770532998627", " 0.929277177860663", "0.919100264834113", " 0.0523782353120929", " 0.269649854978879", " 0.0367472225896841", " 0.999999954496112", "8.2", "5.5", " 5.8", " 6.2", " 7.3", " 5.1", " 5.8", " 4.7", " 5.5", " 4.8", " 5.2", " 4.1", " 4.1", " 6.3", " 4.4", " 6.7", " 6.3", " 7.9", " 6.3", " 8.2", " 8.2", " 7.9", " 6.3", " 7.9", " 6.0", " 6.1", " 5.3", " 6.8", " 5.3", " 5.3", " 4.6", " 4.2", " 4.6", " 4.3", " 5.8", " 5.8", " 7.7", " 5.1", " 7.3", " 5.5", " 5.1"
"2", "", "False", "Docosahexaenoic Acid", "C22 H32 O2", "Full match", " Full match", " No results", " Partial match", " Partial match", "-2.11", "328.23954", "327.23226", "7.405", "1079048516.29776", "12", "2", "0", "91.8", "55.2", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "340429898.331767", " 542014768.676076", " 331213435.92968", " 645384425.565832", " 654058379.981662", "28.9968815598606", " 37.9124419284705", " 20.5928539444671", " 26.4801557006278", " 17.5833292540995", "1.028", " 1.949", " 1.975", " 0.840", " 1.013", "0.04", " 0.96", " 0.98", " -0.25", " 0.02", "0.999926494697097", " 9.86869024304227E-05", " 0.000982282390222133", " 0.418992486977287", " 0.934696434921388", "0.999999999997193", " 0.000810642412821329", " 0.00634290387593957", " 0.999999987372115", " 0.999999954496112", "7.7", "7.2", " 4.9", " 6.1", " 5.7", " 7.2", " 7.6", " 6.8", " 4.9", " 6.3", " 6.7", " 3.7", " 7.1", " 6.3", " 3.7", " 6.7", " 6.3", " 4.6", " 7.6", " 6.8", " 4.9", " 6.1", " 5.7", " 5.3", " 6.8", " 4.6", " 4.9", " 6.5", " 4.6", " 5.3", " 4.9", " 6.8", " 4.2", " 5.5", " 5.5", " 7.7", " 5.1", " 5.8", " 7.0", " 5.8", " 5.5"
"3", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.30", "304.23953", "303.23225", "7.551", "817610579.377013", "51", "2", "0", "95.7", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "472093722.337252", " 463429412.372183", " 397440579.188999", " 511325113.263937", " 484350342.242346", "28.5050320488992", " 32.4551807655402", " 20.9664385747035", " 25.6177963378735", " 35.4857255612644", "1.188", " 1.287", " 1.219", " 0.906", " 0.947", "0.25", " 0.36", " 0.29", " -0.14", " -0.08", "0.895880281224603", " 0.228878604872719", " 0.839377157665383", " 0.864204870860935", " 0.803656991777267", "0.999999999997193", " 0.518152631942702", " 0.999999999407085", " 0.999999987372115", " 0.999999954496112", "8.0", "6.1", " 8.0", " 4.6", " 7.2", " 5.7", " 6.8", " 5.3", " 4.6", " 6.0", " 7.5", " 4.1", " 6.3", " 4.4", " 4.8", " 7.1", " 6.7", " 7.2", " 6.8", " 6.8", " 4.6", " 7.2", " 7.2", " 6.1", " 6.8", " 5.3", " 4.2", " 4.9", " 4.9", " 5.3", " 6.8", " 4.9", " 3.8", " 4.4", " 6.0", " 7.5", " 6.0", " 4.1", " 6.3", " 4.4", " 5.2"
"5", "", "False", "a-Eleostearic acid", "C18 H30 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "-2.70", "278.22383", "277.21655", "7.170", "703094737.834034", "76", "6", "0", "96.6", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "104303713.514795", " 110026615.804108", " 176943924.79148", " 352151002.309911", " 311558206.32362", "28.2884322572612", " 67.5851237724364", " 24.6357730018152", " 36.6681395722295", " 33.3625500040433", "0.589", " 1.990", " 1.761", " 0.312", " 0.885", "-0.76", " 0.99", " 0.82", " -1.68", " -0.18", "0.0936959827003261", " 0.00753301956380881", " 0.0453205484504755", " 8.645950560493E-06", " 0.952629272939865", "0.800019544595092", " 0.0307805223792021", " 0.157935244600142", " 0.000770161876944897", " 0.999999954496112", "7.6", "6.8", " 6.5", " 5.7", " 7.6", " 7.6", " 6.5", " 7.6", " 4.6", " 2.8", " 5.1", " 3.2", " 4.7", " 6.2", " 6.2", " 5.8", " 5.8", " 6.5", " 6.8", " 7.2", " 7.2", " 6.8", " 6.5", " 6.8", " 7.2", " 7.5", " 5.2", " 6.0", " 6.7", " 6.3", " 6.7", " 6.3", " 4.8", " 6.0", " 4.4", " 3.7", " 4.4", " 4.4", " 3.7", " 6.3", " 6.3"
"4", "", "False", "Oleic acid", "C18 H34 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.51", "282.25517", "281.24789", "8.173", "640122646.290175", "60", "3", "0", "96.9", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "183878766.827353", " 279254438.195606", " 226706004.640272", " 386187624.596676", " 367915974.594667", "22.1444457970822", " 32.9376541669026", " 17.6396642831883", " 26.9280973357666", " 20.7499553725791", "0.811", " 1.703", " 1.623", " 0.723", " 0.953", "-0.30", " 0.77", " 0.70", " -0.47", " -0.07", "0.289017900131017", " 0.00152600282163018", " 0.0221084814868542", " 0.0287592526873118", " 0.857823803144259", "0.999999999997193", " 0.00825595889057085", " 0.0941657544810456", " 0.305290528526849", " 0.999999954496112", "8.1", "5.7", " 7.2", " 5.3", " 7.2", " 7.2", " 7.2", " 7.2", " 5.7", " 4.8", " 4.4", " 4.1", " 6.3", " 4.8", " 4.4", " 4.4", " 4.8", " 5.5", " 8.1", " 7.7", " 5.8", " 7.7", " 5.8", " 6.2", " 7.7", " 4.9", " 4.9", " 5.3", " 4.9", " 5.3", " 6.8", " 4.6", " 4.9", " 5.7", " 7.2", " 6.5", " 4.9", " 7.2", " 4.9", " 5.3", " 4.6"
"7", "", "False", "Ethyl myristate", "C16 H32 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "-2.94", "256.23948", "255.23220", "8.066", "500809667.997218", "32", "2", "0", "97.0", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "232291824.867132", " 282073921.410127", " 260149058.063889", " 338418201.074746", " 332200227.691066", "15.3360424049779", " 25.3867807264019", " 10.6768506736783", " 19.5454842992182", " 15.6211445751533", "0.893", " 1.301", " 1.277", " 0.834", " 0.982", "-0.16", " 0.38", " 0.35", " -0.26", " -0.03", "0.707265858351854", " 0.0181378186188839", " 0.107748307442158", " 0.0379382141632312", " 0.93871670458482", "0.999999999997193", " 0.0579402539214346", " 0.275356785685514", " 0.345760006885994", " 0.999999954496112", "8.2", "7.7", " 5.8", " 5.5", " 5.8", " 7.3", " 7.3", " 7.3", " 5.8", " 4.2", " 4.9", " 4.9", " 5.3", " 5.7", " 7.2", " 5.3", " 5.3", " 5.6", " 8.2", " 8.2", " 8.2", " 7.9", " 8.2", " 6.0", " 8.2", " 4.3", " 5.1", " 6.2", " 5.5", " 5.8", " 5.8", " 7.3", " 5.5", " 5.5", " 7.3", " 7.3", " 7.7", " 5.1", " 4.7", " 5.8", " 4.7"
"6", "", "False", "Palmitoleic acid", "C16 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-3.06", "254.22380", "253.21653", "7.476", "495956964.961172", "57", "6", "0", "97.5", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "91362463.0948734", " 154219611.863074", " 165178410.773025", " 325496262.878485", " 273353611.086933", "34.7647701768013", " 36.102719567587", " 22.4371261384373", " 26.2564489266269", " 31.1036070402483", "0.553", " 1.971", " 1.655", " 0.474", " 0.840", "-0.85", " 0.98", " 0.73", " -1.08", " -0.25", "0.0208128439019984", " 0.00157610976840561", " 0.0155856334825553", " 0.000801665212099789", " 0.915799100504234", "0.288778209140228", " 0.00825595889057085", " 0.074681160437244", " 0.0254856119914458", " 0.999999954496112", "7.6", "6.0", " 6.3", " 6.0", " 6.0", " 6.0", " 6.7", " 5.6", " 5.6", " 6.7", " 7.1", " 6.3", " 6.7", " 6.3", " 5.6", " 6.0", " 5.6", " 6.5", " 4.6", " 4.9", " 6.8", " 7.2", " 7.2", " 5.3", " 6.5", " 6.8", " 5.7", " 6.8", " 4.6", " 7.2", " 7.6", " 7.2", " 6.8", " 6.7", " 6.3", " 6.7", " 3.7", " 4.4", " 4.4", " 4.1", " 4.1"
"8", "", "False", "9,12-hexadecadienoic acid", "C16 H28 O2", "Full match", " No results", " No results", " Partial match", " Full match", "-2.98", "252.20818", "251.20090", "6.939", "415412979.25492", "50", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "33701880.3354283", " 124483630.885076", " 31075360.1368137", " 214818663.319528", " 171616165.777136", "33.8658160623332", " 79.8500190916152", " 33.9591293810107", " 34.0622348913325", " 35.185484250841", "1.085", " 6.913", " 5.523", " 0.579", " 0.799", "0.12", " 2.79", " 2.47", " -0.79", " -0.32", "0.796345480043667", " 2.69007449649195E-09", " 3.06429684959753E-08", " 0.0581271016925753", " 0.909507106111026", "0.999999999997193", " 3.09358567096574E-07", " 1.17464712567905E-06", " 0.422186317556599", " 0.999999954496112", "7.5", "5.6", " 6.0", " 5.6", " 5.7", " 6.7", " 6.0", " 5.6", " 6.0", " 5.8", " 5.8", " 5.8", " 6.2", " 5.8", " 5.8", " 3.7", " 5.8", " 5.4", " 6.0", " 5.4", " 5.2", " 6.3", " 6.1", " 6.0", " 6.3", " 7.1", " 6.0", " 6.0", " 6.3", " 7.5", " 6.7", " 4.8", " 6.3", " 6.3", " 6.7", " 6.7", " 6.3", " 6.3", " 6.7", " 6.7", " 6.3"
"9", "", "False", "Myristic acid", "C14 H28 O2", "Full match", " Full match", " No results", " Full match", " Full match", "-4.29", "228.20795", "227.20067", "7.289", "268423449.857492", "27", "2", "0", "97.8", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "52243813.351416", " 87069834.7469082", " 78280395.5846542", " 161596347.049676", " 128203390.215661", "21.7471537843723", " 56.3416029132683", " 28.1342645853713", " 25.0236420818042", " 25.8589290628092", "0.667", " 2.064", " 1.638", " 0.539", " 0.793", "-0.58", " 1.05", " 0.71", " -0.89", " -0.33", "0.103974413090604", " 0.000981558683011086", " 0.0650278339071507", " 0.00348174329250006", " 0.508653897535672", "0.824368560932645", " 0.00609883486132445", " 0.191748741008265", " 0.0600600717956261", " 0.999999954496112", "7.6", "6.8", " 7.2", " 6.8", " 6.1", " 6.5", " 7.6", " 6.8", " 6.5", " 6.2", " 5.8", " 6.2", " 5.8", " 5.5", " 5.5", " 5.5", " 5.8", " 4.9", " 6.8", " 6.5", " 6.8", " 6.8", " 6.8", " 7.6", " 6.5", " 7.6", " 6.8", " 6.8", " 7.2", " 6.8", " 6.8", " 6.5", " 6.8", " 4.6", " 6.8", " 7.6", " 6.8", " 6.5", " 6.5", " 6.8", " 4.9"
"10", "", "False", "Alepric acid", "C14 H24 O2", "Full match", " No results", " No results", " Partial match", " Full match", "-4.47", "224.17663", "223.16935", "6.180", "261167057.570417", "48", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "11331382.9079364", " 72922856.4695226", " 15480732.6449001", " 126563702.956512", " 102856943.418216", "49.2498632086643", " 82.3537292633676", " 39.8086331071298", " 29.30850865232", " 54.317232873366", "0.732", " 8.176", " 6.644", " 0.576", " 0.813", "-0.45", " 3.03", " 2.73", " -0.80", " -0.30", "0.997318141431884", " 1.83628527938851E-08", " 5.97831516513381E-08", " 0.0400881167404051", " 0.99381312503671", "0.999999999997193", " 7.03909357098927E-07", " 1.71876560997597E-06", " 0.345760006885994", " 0.999999954496112", "8.0", "4.6", " 5.4", " 6.0", " 4.6", " 4.8", " 5.6", " 5.6", " 5.8", " 5.8", " 6.2", " 7.0", " 5.1", " 6.6", " 6.2", " 5.4", " 5.8", " 4.9", " 6.9", " 6.3", " 6.1", " 6.1", " 5.5", " 6.9", " 6.9", " 8.0", " 8.0", " 7.2", " 8.0", " 7.2", " 7.2", " 7.6", " 7.6", " 6.2", " 7.0", " 6.2", " 7.0", " 6.2", " 6.6", " 6.6", " 6.6"
