Compounds ID,Calc. MW,Name,Total Distance
1,280.23952,Linoleic acid,6.654923133550522
2,328.23954,Docosahexaenoic Acid,6.462007448374241
3,304.23953,Arachidonic acid,7.8069200475131915
5,278.22383,a-Eleostearic acid,6.022702845827997
4,282.25517,Oleic acid,6.613306347652012
7,256.23948,Ethyl myristate,7.121222569365997
6,254.22380,Palmitoleic acid,5.955757683757456
10,224.17663,Alepric acid,4.448043699426419
9,228.20795,Myristic acid,6.267275590850012
11,302.22385,Eicosapentaenoic acid,5.671080630536037
15,296.23438,(+/-)12(13)-DiHOME,7.242343672218672
16,226.19229,5-methyl-2E-tridecenoic acid,5.014881923152635
12,330.25517,Docosapentaenoic acid,6.064955513403888
17,332.27081,Adrenic acid,5.586769687918387
18,226.19230,5-methyl-2E-tridecenoic acid,5.278168095912545
24,408.28659,Cholic acid,8.261539842690945
21,330.25519,Docosapentaenoic acid,7.049676694750685
25,462.29727,3-dehydroecdysone,4.238506626796479
26,627.35245,LPC 22:6,6.5727900306478535
112,250.98467,C9 H7 N3 P2 S,7.3080570858913845
28,268.08015,ethyl 3-cyano-2-hydroxy-6-phenylisonicotinate,7.61306626213952
30,280.20319,7-hydroxy-10E-Heptadecen-8-ynoic acid,7.7698291150339545
29,238.19241,3-pentadecynoic acid,7.536237534742714
56,218.00930,C6 H7 N2 O5 P,7.903743810428592
33,414.29717,ascr#29,6.501212450056482
49,296.23438,(+/-)13-HODE,7.047284694030999
35,240.17171,7-oxo-11E-Tetradecenoic acid,6.689834968236229
39,525.28435,LPE 22:6,6.337059179069988
45,408.28648,Cholic acid,8.310925962955913
36,244.06875,Uridine,7.583502771763191
190,292.99542,C9 H12 N O4 P S2,8.331302652458042
38,268.23957,trans-10-Heptadecenoic acid,6.380659071464637
40,284.27088,Stearic acid,6.465200864715624
47,344.23441,(±)17-HDoHE,6.821729601530647
50,320.23440,(±)11(12)-EET,7.800617138279965
42,555.35240,LPC 16:0,6.63599517414839
286,215.14112,215.14112,7.843699472659277
247,249.97978,C2 H5 N8 O P3,7.213508295283913
62,243.18263,Cer 10:1;2O/3:0,7.737704572627868
44,603.35227,LPC 20:4,7.090765401088874
129,215.14122,tramazoline,7.711273392402658
378,242.15230,Ieodomycin A,7.925808458465508
43,326.22385,Zooxanthellactone,7.060520133981374
64,362.24248,C19 H39 O2 P S,7.440179910073377
55,242.18732,14-hydroxy-12-tetradecenoic acid,7.384053826775057
48,636.53177,C32 H72 N6 O4 S,6.919627780716259
67,334.21124,C16 H26 N6 O2,4.344704087007297
57,360.22691,C18 H28 N6 O2,6.374755391042654
65,224.03469,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,7.8230792477166435
73,406.23461,diginatigenin,5.9213343017412035
46,235.98222,C7 H8 O5 S2,6.893824357035155
69,240.06614,C4 H14 N6 O2 P2,7.812857478784755
74,223.11981,Bufexamac,7.551777679945528
95,243.18262,C13 H25 N O3,7.769833427112511
321,242.15228,Ieodomycin A,7.657090733906235
104,600.50672,C34 H68 N2 O6,6.4960241938451535
63,306.18001,C14 H22 N6 O2,4.4298192606979585
60,582.46117,C27 H63 N6 O5 P,6.997568742174929
469,226.94003,C5 H7 Cl N O P S2,5.9524622497379855
132,270.21890,Ambrettolic acid,7.283949146201283
131,241.97600,C7 H12 Cl O P S2,7.886864569878671
98,352.22428,11ß-Prostaglandin E2,7.606763949107718
76,304.09155,C12 H12 N6 O4,7.866596088075492
103,214.15584,12-hydroxy-10-dodecenoic acid,6.585766495647559
68,380.16430,Sudan IV,7.537100753822825
202,269.18852,C17 H23 N3,6.207274758461084
58,410.24226,LPA 16:0,7.799290897259218
308,227.14131,C14 H17 N3,7.419804167198357
609,289.99558,C9 H11 N2 O3 P S2,5.977209894031617
51,630.46101,PA(P-16:0/16:1(9Z)),7.518413148789782
79,228.13518,Ieodomycin C,6.520860572882849
78,501.28460,LPE 20:4,6.453957094748078
147,294.21890,13(S)-HOTrE,6.455158438465572
61,382.18006,C24 H22 N4 O,6.296953514501001
725,289.95273,C6 H9 Cl O7 P2,7.446575417237536
88,268.20324,9-oxo-7E-hexadecenoic acid,7.20273593485702
83,298.25008,NP-011548,7.717033136037351
110,294.18256,Embelin,7.710114866061067
71,298.25000,NP-011548,7.678651553038272
75,386.24236,C21 H39 O2 P S,6.352619725314658
178,298.25005,NP-011548,7.882429087134042
197,294.21883,13(S)-HOTrE,4.61619186504071
182,406.23470,diginatigenin,5.114051103662718
72,654.48486,C42 H62 N4 O2,4.874971401151755
52,428.16443,C28 H20 N4 O,7.500682194985395
77,578.42981,PA(O-16:0/12:0),6.087546862108754
628,305.14818,C14 H27 N O2 S2,7.595332776492716
130,378.23739,C18 H30 N6 O3,7.65242374550831
873,286.95042,C3 H N3 O13,7.452302040722519
201,254.22375,?2-trans-Hexadecenoic acid,7.612467054744095
102,298.25006,NP-011548,7.068076144369282
166,220.86163,220.86163,6.864039418316432
141,250.98467,C9 H7 N3 P2 S,8.31193380411097
108,583.38378,LPC 18:0,6.5712818050772
187,244.16663,Cladosporester A,7.187269790120046
149,579.35213,LPC 18:2,6.9250856951738955
85,586.49254,C28 H63 N10 O P,7.111410830268343
80,390.29700,C17 H38 N6 O4,5.529111620993777
84,336.22697,C16 H28 N6 O2,6.867733014010411
184,416.31277,ascr#30,6.960866087267588
