"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45", "mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45", "mzVault Library Match: Custom mzVault Library", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2021-09-13", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla/lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla/lps", "Group CV [%]: cla", "Group CV [%]: cla/lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla/lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla/lps) / (ctrl)", "Ratio: (cla/lps) / (lps)", "Ratio: (no2-cla/lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla/lps) / (ctrl)", "Log2 Fold Change: (cla/lps) / (lps)", "Log2 Fold Change: (no2-cla/lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla/lps) / (ctrl)", "P-value: (cla/lps) / (lps)", "P-value: (no2-cla/lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla/lps) / (ctrl)", "Adj. P-value: (cla/lps) / (lps)", "Adj. P-value: (no2-cla/lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Liver-F-9.raw (F9)", "Peak Rating: Liver-F-10.raw (F10)", "Peak Rating: Liver-F-11.raw (F11)", "Peak Rating: Liver-F-12.raw (F12)", "Peak Rating: Liver-F-13.raw (F13)", "Peak Rating: Liver-F-14.raw (F14)", "Peak Rating: Liver-F-15.raw (F15)", "Peak Rating: Liver-F-16.raw (F16)", "Peak Rating: Liver-F-25.raw (F25)", "Peak Rating: Liver-F-26.raw (F26)", "Peak Rating: Liver-F-27.raw (F27)", "Peak Rating: Liver-F-28.raw (F28)", "Peak Rating: Liver-F-29.raw (F29)", "Peak Rating: Liver-F-30.raw (F30)", "Peak Rating: Liver-F-31.raw (F31)", "Peak Rating: Liver-F-32.raw (F32)", "Peak Rating: Liver-F-1.raw (F1)", "Peak Rating: Liver-F-2.raw (F2)", "Peak Rating: Liver-F-3.raw (F3)", "Peak Rating: Liver-F-4.raw (F4)", "Peak Rating: Liver-F-5.raw (F5)", "Peak Rating: Liver-F-6.raw (F6)", "Peak Rating: Liver-F-7.raw (F7)", "Peak Rating: Liver-F-8.raw (F8)", "Peak Rating: Liver-F-17.raw (F17)", "Peak Rating: Liver-F-18.raw (F18)", "Peak Rating: Liver-F-19.raw (F19)", "Peak Rating: Liver-F-20.raw (F20)", "Peak Rating: Liver-F-21.raw (F21)", "Peak Rating: Liver-F-22.raw (F22)", "Peak Rating: Liver-F-23.raw (F23)", "Peak Rating: Liver-F-24.raw (F24)", "Peak Rating: Liver-F-33.raw (F33)", "Peak Rating: Liver-F-34.raw (F34)", "Peak Rating: Liver-F-35.raw (F35)", "Peak Rating: Liver-F-36.raw (F36)", "Peak Rating: Liver-F-37.raw (F37)", "Peak Rating: Liver-F-38.raw (F38)", "Peak Rating: Liver-F-39.raw (F39)", "Peak Rating: Liver-F-40.raw (F40)"
"1", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.04", "280.24052", "279.23325", "7.690", "3060323962.60849", "119", "4", "0", "97.1", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1174654657.04321", " 1445507532.67639", " 1383923339.85792", " 1286894629.85392", " 1340308834.37101", "32.6120614623422", " 24.0110297808023", " 49.2770344107506", " 53.9049439077677", " 31.6547135119148", "0.849", " 0.930", " 0.968", " 1.123", " 1.042", "-0.24", " -0.10", " -0.05", " 0.17", " 0.06", "0.44797199118932", " 0.990339160302069", " 0.998527099094571", " 0.957424350235274", " 0.999765713981417", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.5", "5.2", " 6.3", " 6.3", " 7.1", " 4.4", " 4.8", " 4.4", " 6.7", " 5.3", " 5.7", " 6.8", " 4.9", " 3.4", " 4.9", " 5.7", " 6.8", " 4.7", " 4.7", " 3.6", " 5.1", " 3.9", " 6.6", " 4.7", " 5.5", " 5.1", " 4.7", " 4.7", " 3.2", " 4.3", " 3.6", " 6.2", " 6.6", " 2.6", " 3.7", " 6.3", " 7.5", " 5.6", " 5.2", " 6.3", " 4.8"
"2", "", "False", "Oleic acid", "C18 H34 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.13", "282.25620", "281.24892", "8.203", "1936133983.23589", "60", "3", "0", "97.0", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "614254267.113779", " 852003230.285353", " 490195185.851886", " 668545550.903194", " 388102131.686471", "62.6227129054886", " 41.2143222275061", " 74.392500923677", " 47.6899113319762", " 53.6788592273889", "1.253", " 1.364", " 0.792", " 1.274", " 0.581", "0.33", " 0.45", " -0.34", " 0.35", " -0.78", "0.630802912133047", " 0.999919052835074", " 0.971599406675504", " 0.997350677390049", " 0.942463086748946", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.0", "3.9", " 1.9", " 5.1", " 3.9", " 3.6", " 5.5", " 5.5", " 5.8", " 5.8", " 3.9", " 5.5", " 4.7", " 5.1", " 5.5", " 4.3", " 2.8", " 6.2", " 4.7", " 4.3", " 5.5", " 6.6", " 3.6", " 5.1", " 5.5", " 4.7", " 6.2", " 6.6", " 5.8", " 7.0", " 5.5", " 7.0", " 6.2", " 5.5", " 4.7", " 5.5", " 6.6", " 5.5", " 5.5", " 3.6", " 3.6"
"6", "", "False", "Docosahexaenoic Acid", "C22 H32 O2", "Full match", " Full match", " No results", " Partial match", " Partial match", "1.53", "328.24073", "327.23345", "7.440", "1591188870.94757", "12", "2", "0", "94.0", "59.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "665680492.749116", " 1078222435.56189", " 727953218.421373", " 1018593228.24706", " 770773803.305707", "36.2569821724281", " 26.9057753527979", " 38.9464064667308", " 25.1209135324197", " 29.5697242882762", "0.914", " 1.399", " 1.059", " 1.059", " 0.757", "-0.13", " 0.48", " 0.08", " 0.08", " -0.40", "0.961703280837039", " 0.224822443503073", " 0.97782368111136", " 0.960614444530197", " 0.526527603417716", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.2", "3.7", " 5.2", " 6.3", " 5.2", " 6.0", " 5.2", " 5.2", " 6.0", " 6.5", " 5.7", " 4.2", " 6.1", " 5.3", " 6.5", " 6.1", " 6.8", " 5.2", " 6.0", " 4.4", " 5.6", " 6.0", " 5.6", " 5.2", " 5.6", " 6.1", " 6.5", " 5.3", " 5.3", " 5.3", " 5.3", " 4.9", " 7.2", " 5.3", " 6.8", " 6.1", " 5.7", " 5.3", " 4.9", " 4.6", " 6.8"
"10", "", "False", "Pinolenic acid", "C18 H30 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "0.95", "278.22484", "277.21757", "7.204", "1524846364.94677", "76", "6", "0", "97.2", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "372292433.482498", " 467262297.642825", " 653256577.621152", " 920621006.379", " 486113025.490973", "40.8136956142913", " 72.2154042152346", " 50.8986257081362", " 37.960540320542", " 43.9874522865907", "0.570", " 1.409", " 0.744", " 0.508", " 0.528", "-0.81", " 0.49", " -0.43", " -0.98", " -0.92", "0.500265180479861", " 0.541510529820069", " 0.999915098684662", " 0.178685628830063", " 0.457595650306388", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "6.2", "3.9", " 6.2", " 5.1", " 4.7", " 2.4", " 2.8", " 3.6", " 4.3", " 5.1", " 5.1", " 2.4", " 4.3", " 3.9", " 3.9", " 4.7", " 3.2", " 5.1", " 5.1", " 5.5", " 4.7", " 4.7", " 5.5", " 4.7", " 5.1", " 5.2", " 2.6", " 4.4", " 6.0", " 5.6", " 4.4", " 5.6", " 4.8", " 5.5", " 5.5", " 3.6", " 4.7", " 5.1", " 5.8", " 5.5", " 4.7"
"5", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.30", "304.24062", "303.23334", "7.577", "1484139216.12478", "51", "2", "0", "95.3", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "917680991.154816", " 1034933532.5647", " 709563290.878926", " 884053628.951696", " 731705198.636266", "35.8728580176367", " 24.7727516376109", " 28.1939292974744", " 24.6451083806246", " 43.4427798335027", "1.293", " 1.246", " 1.031", " 1.171", " 0.828", "0.37", " 0.32", " 0.04", " 0.23", " -0.27", "0.999887789893296", " 0.977696940961882", " 0.884440683542657", " 0.914811985788084", " 0.567182404621371", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.6", "5.6", " 7.5", " 5.2", " 5.6", " 4.4", " 5.6", " 5.2", " 6.3", " 7.6", " 5.3", " 4.6", " 5.7", " 3.8", " 7.2", " 7.2", " 5.3", " 6.5", " 6.1", " 5.3", " 7.2", " 5.3", " 6.1", " 6.8", " 6.1", " 6.5", " 5.3", " 7.6", " 5.3", " 5.7", " 4.9", " 5.3", " 7.2", " 3.9", " 5.8", " 4.3", " 5.8", " 5.1", " 5.1", " 2.8", " 4.3"
"9", "", "False", "Palmitoleic acid", "C16 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "0.60", "254.22473", "253.21745", "7.499", "1193663858.17321", "57", "6", "0", "97.5", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "540609425.699233", " 445932193.744681", " 455741659.410492", " 512087505.920406", " 340847521.729645", "32.9225988719893", " 35.6377308496867", " 56.393742350043", " 39.1434596516858", " 42.2536345786273", "1.186", " 1.124", " 0.748", " 0.871", " 0.666", "0.25", " 0.17", " -0.42", " -0.20", " -0.59", "0.996507775588376", " 0.999999775027312", " 0.27333689673692", " 0.993010315228251", " 0.259481345623956", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.5", "6.3", " 5.2", " 6.7", " 5.6", " 6.7", " 6.3", " 5.2", " 5.6", " 6.7", " 7.5", " 6.0", " 6.3", " 7.1", " 6.7", " 5.6", " 7.1", " 5.5", " 6.6", " 3.6", " 6.2", " 6.2", " 6.2", " 6.2", " 5.1", " 7.1", " 5.6", " 5.6", " 5.2", " 7.1", " 7.5", " 7.1", " 5.2", " 5.5", " 4.7", " 5.8", " 5.1", " 6.2", " 6.2", " 7.0", " 5.8"
"4", "", "False", "Ethyl myristate", "C16 H32 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "0.71", "256.24041", "255.23313", "8.097", "1134351323.56836", "32", "2", "0", "97.2", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "669243016.260157", " 739448007.405497", " 496698709.591523", " 679398489.851195", " 508567416.511599", "35.4886089911889", " 33.3031466280169", " 48.975445230434", " 37.3327659914109", " 38.8218113937769", "1.347", " 1.368", " 1.024", " 1.088", " 0.749", "0.43", " 0.45", " 0.03", " 0.12", " -0.42", "0.999911180959425", " 0.787954327984643", " 0.999810811482203", " 0.999794856096793", " 0.692028138503909", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.5", "6.3", " 6.7", " 7.5", " 6.0", " 5.6", " 5.6", " 7.1", " 6.0", " 6.7", " 7.1", " 4.8", " 7.5", " 5.6", " 4.8", " 6.7", " 4.8", " 3.6", " 5.5", " 5.1", " 6.2", " 7.0", " 5.8", " 5.5", " 5.8", " 5.2", " 6.7", " 6.7", " 5.6", " 6.0", " 7.1", " 6.7", " 6.0", " 5.6", " 7.5", " 5.6", " 5.6", " 5.6", " 7.1", " 6.7", " 6.3"
"8", "", "False", "Eicosapentaenoic acid", "C20 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "1.20", "302.22494", "301.21767", "7.118", "968301977.750305", "59", "2", "0", "93.7", "81.1", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "171384711.013867", " 273387369.087312", " 226528844.432959", " 369616321.137687", " 267520767.673249", "39.5269343550066", " 73.3596291995531", " 45.967452206291", " 33.2637725586616", " 43.596297875335", "0.757", " 1.632", " 1.181", " 0.740", " 0.724", "-0.40", " 0.71", " 0.24", " -0.44", " -0.47", "0.681598894178724", " 0.0744419163722952", " 0.819099642545439", " 0.902819988141885", " 0.491317674186217", "0.999999999946231", " 0.56555178132841", " 1", " 0.999999999996915", " 1", "7.5", "6.7", " 7.1", " 6.3", " 6.3", " 6.7", " 7.1", " 5.6", " 7.5", " 5.5", " 5.8", " 5.1", " 7.0", " 4.3", " 7.0", " 7.0", " 5.8", " 6.2", " 7.0", " 6.6", " 6.6", " 6.6", " 5.8", " 5.5", " 5.5", " 7.5", " 6.0", " 5.6", " 7.5", " 5.2", " 5.2", " 6.3", " 6.7", " 6.6", " 7.0", " 4.7", " 7.0", " 7.0", " 5.1", " 5.5", " 5.8"
"20", "", "False", "Cholic acid", "C24 H40 O5", "Full match", " Full match", " Full match", " Full match", " Full match", "1.10", "408.28802", "407.28071", "3.558", "886092543.111108", "80", "4", "3", "99.8", "10.0", "28.1", "No matches found", " No matches found", " No matches found", " Multiple matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "353938907.306605", " 490904400.787535", " 442501624.176357", " 638051120.904809", " 504976937.520761", "59.6306553534912", " 23.8023138552471", " 51.9951873118954", " 48.0821864234105", " 55.0219772310493", "0.800", " 1.442", " 1.141", " 0.769", " 0.791", "-0.32", " 0.53", " 0.19", " -0.38", " -0.34", "0.710866979858364", " 0.999999962185319", " 0.989448531848545", " 0.999559604808718", " 0.98766777722369", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.2", "3.6", " 5.8", " 4.7", " 5.8", " 5.8", " 6.2", " 4.3", " 6.2", " 7.2", " 4.6", " 3.8", " 5.7", " 5.7", " 5.7", " 5.3", " 6.8", " 5.5", " 4.3", " 4.7", " 6.2", " 5.5", " 6.2", " 5.8", " 3.2", " 6.2", " 5.1", " 5.8", " 4.3", " 5.8", " 4.3", " 4.7", " 3.9", " 5.1", " 6.2", " 5.8", " 5.5", " 3.6", " 3.9", " 3.9", " 4.7"
"14", "", "False", "ascr#29", "C23 H42 O6", "Not the top hit", " No results", " No results", " Full match", " Full match", "1.43", "414.29873", "413.29145", "7.082", "675576155.065557", "2", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "17891163.5591635", " 23861957.7511267", " 20998472.6081354", " 98966863.463455", " 27517462.4634387", "134.407585069632", " 211.076555583545", " 120.984036251039", " 69.936013843937", " 98.2007972634224", "0.852", " 4.713", " 1.310", " 0.241", " 0.278", "-0.23", " 2.24", " 0.39", " -2.05", " -1.85", "0.903164978945545", " 0.442242475138008", " 0.999891175804396", " 0.697902109980353", " 0.530889403254849", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.0", "2.8", " 2.6", " 3.9", " 2.4", " 5.1", " 4.7", " 4.3", " 4.6", " 4.3", " 5.1", " 3.9", " 3.9", " 4.3", " 4.7", " 4.7", " 5.5", " 5.8", " 5.8", " 6.6", " 3.5", " 5.8", " 5.6", " 6.6", " 4.3", " 5.8", " 5.8", " 7.0", " 4.3", " 4.7", " 5.5", " 3.9", " 5.8", " 5.5", " 5.5", " 3.2", " 6.2", " 4.3", " 4.7", " 4.7", " 6.2"
