Compounds ID,Calc. MW,Name,Total Distance
1,280.24052,Linoleic acid,9.320089742296831
2,282.25620,Oleic acid,9.211612987486214
6,328.24073,Docosahexaenoic Acid,9.316795852509703
10,278.22484,Pinolenic acid,8.892055282393782
5,304.24062,Arachidonic acid,9.342186561769472
9,254.22473,Palmitoleic acid,9.03945142404391
4,256.24041,Ethyl myristate,9.339713805972137
8,302.22494,Eicosapentaenoic acid,9.040079485549715
20,408.28802,Cholic acid,9.372304966111264
14,414.29873,ascr#29,8.97707688394644
11,330.25636,Docosapentaenoic acid,9.05909217996981
15,228.20879,Myristic acid,9.15487202380065
23,408.28805,Cholic acid,9.196666801504984
16,332.27202,Adrenic acid,9.150476637249216
34,294.21994,13(S)-HOTrE,8.808703838906768
18,636.53395,C40 H68 N4 O2,8.785584223141905
24,408.28813,Cholic acid,8.777817673313569
27,462.29891,3-dehydroecdysone,9.0613480248191
35,579.35436,LPC 18:2,9.001448780437833
47,392.29328,Deoxycholic acid,9.274600674653668
33,226.19312,5-methyl-2E-tridecenoic acid,8.525238530951821
42,224.17744,Alepric acid,6.130729457194502
39,412.28306,C24 H36 N4 O2,8.824401662081797
40,296.23547,(+/-)9-HODE,9.056221391673995
212,350.21003,?17-6-keto prostaglandin F1a,9.061721330895367
30,656.50287,C41 H68 O6,8.861127913903571
53,627.35462,LPC 22:6,9.103481433970723
52,406.27240,LMST04010145,9.359011880669321
164,218.01006,C7 H3 N6 O P,9.147220500573937
77,594.34260,Stercobilin,9.099524953974951
50,284.27190,Stearic acid,8.944750635538997
72,392.29319,Deoxycholic acid,9.267295501996328
515,250.98557,C5 H5 N3 O7 S,5.219176962378791
56,1224.86470,C75 H123 N2 O5 P3,9.184245488058043
43,560.48114,FAHFA 18:2/18:1,5.518575687802912
68,362.21001,NP-020353,5.368805483110733
118,296.23546,(+/-)12(13)-DiHOME,8.729113734200553
78,276.17292,NP-006255,9.11516830991802
58,226.19312,5-methyl-2E-tridecenoic acid,5.421895549265104
94,603.35471,LPC 20:4,8.463958930910245
61,244.06966,Uridine,7.247391123813526
75,320.23555,(±)11(12)-EET,8.893137751833569
230,490.29144,NP-017176,9.421847082065506
92,501.28638,LPE 20:4,9.277799930301496
64,388.28309,ascr#26,9.046047139760942
114,350.20981,?17-6-keto prostaglandin F1a,9.129353275109835
261,241.97692,C8 H4 Cl2 N4 O,9.078033699299874
631,292.99642,C9 H4 N5 O5 P,3.346814315926114
80,268.24054,trans-10-Heptadecenoic acid,9.124904833364571
79,268.08113,ethyl 3-cyano-2-hydroxy-6-phenylisonicotinate,8.294889963245678
158,348.19429,11-keto Testosterone (CRM),9.099144839413269
110,292.16789,NP-018545,9.226315073908259
119,592.32693,Colocynthenin F,8.282431506758488
133,600.50887,C33 H69 N4 O3 P,9.188639722824009
90,525.28628,LPE 22:6,9.227970612158694
130,214.12019,Pantheric Acid C,9.239310604089804
635,249.98075,C2 H5 N8 O P3,7.349044443723471
83,652.52892,C36 H64 N10 O,9.126876103802726
150,310.21484,FAHFA 2:0/16:2,9.196954344542696
97,416.31420,ascr#30,9.187225410081325
91,390.25435,C22 H35 Cl N4,8.74469496447076
105,630.37783,C37 H60 O2 P2 S,9.217239995053557
223,243.18353,Cer 10:1;2O/3:0,9.351003583245182
129,450.33516,Certonardosterol L,8.699319821611555
142,555.35439,LPC 16:0,8.648147909907454
140,306.18359,Di-n-Amyl phthalate,8.778543125148028
74,678.54447,C36 H71 N8 O2 P,9.277867201934654
81,654.48724,C40 H67 N2 O3 P,8.637433012279633
295,504.27626,C24 H45 N2 O5 P S,9.379528361191646
235,294.21996,13(S)-HOTrE,9.089936001738913
159,406.27250,LMST04010145,8.748585700561547
155,392.29329,Deoxycholic acid,9.299542986667426
539,218.01010,C7 H3 N6 O P,9.357724591737878
558,218.01006,C7 H3 N6 O P,5.335661629535981
93,326.22499,Zooxanthellactone,8.851237918087447
126,632.50261,C40 H64 N4 O2,8.62373303579264
137,310.28764,11(Z)-Eicosenoic acid,8.94386904474776
177,581.37013,LPC 18:1,8.523347184788381
169,392.29333,Deoxycholic acid,9.002975929676824
366,406.23635,diginatigenin,6.488647692910183
180,466.32991,Certonardosterol K,5.684973159383372
204,272.23555,16-Hydroxyhexadecanoic acid,8.931508550623068
178,294.18357,Embelin,8.512523391396085
188,466.32979,Certonardosterol K,5.422831795256301
215,416.31432,ascr#30,9.21337132031732
511,239.89907,C3 H2 N2 O3 P2 S2,9.898505402339747
537,266.15554,Dodecyl sulfate,7.445174909645328
187,318.21987,(±)18-HEPE,8.913201098481979
138,298.25106,NP-011548,9.328672107057624
181,482.32504,C22 H43 N8 O2 P,9.271254360441977
245,466.32989,Certonardosterol K,5.45588357134634
606,348.19461,11-keto Testosterone (CRM),8.97242061079806
189,240.17258,7-oxo-11E-Tetradecenoic acid,6.918674667946708
273,466.24651,SM 12:2;2O/2:0,9.354338733825589
246,270.21993,Ambrettolic acid,8.014949626575657
350,298.25112,NP-011548,8.94813480613359
365,390.27779,FAHFA 2:0/22:4,9.281510534316146
183,238.19331,3-pentadecynoic acid,9.226229379513926
174,312.23048,FAHFA 2:0/16:1,9.058233653570813
196,348.19439,11-keto Testosterone (CRM),8.782615379996692
