"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45", "mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45", "mzVault Library Match: Custom mzVault Library", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2021-09-13", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla/lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla/lps", "Group CV [%]: cla", "Group CV [%]: cla/lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla/lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla/lps) / (ctrl)", "Ratio: (cla/lps) / (lps)", "Ratio: (no2-cla/lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla/lps) / (ctrl)", "Log2 Fold Change: (cla/lps) / (lps)", "Log2 Fold Change: (no2-cla/lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla/lps) / (ctrl)", "P-value: (cla/lps) / (lps)", "P-value: (no2-cla/lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla/lps) / (ctrl)", "Adj. P-value: (cla/lps) / (lps)", "Adj. P-value: (no2-cla/lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Kidney-F-9.raw (F9)", "Peak Rating: Kidney-F-10.raw (F10)", "Peak Rating: Kidney-F-11.raw (F11)", "Peak Rating: Kidney-F-12.raw (F12)", "Peak Rating: Kidney-F-13.raw (F13)", "Peak Rating: Kidney-F-14.raw (F14)", "Peak Rating: Kidney-F-15.raw (F15)", "Peak Rating: Kidney-F-16.raw (F16)", "Peak Rating: Kidney-F-25.raw (F25)", "Peak Rating: Kidney-F-26.raw (F26)", "Peak Rating: Kidney-F-27.raw (F27)", "Peak Rating: Kidney-F-28.raw (F28)", "Peak Rating: Kidney-F-29.raw (F29)", "Peak Rating: Kidney-F-30.raw (F30)", "Peak Rating: Kidney-F-31.raw (F31)", "Peak Rating: Kidney-F-32.raw (F32)", "Peak Rating: Kidney-F-1.raw (F1)", "Peak Rating: Kidney-F-2.raw (F2)", "Peak Rating: Kidney-F-3.raw (F3)", "Peak Rating: Kidney-F-4.raw (F4)", "Peak Rating: Kidney-F-5.raw (F5)", "Peak Rating: Kidney-F-6.raw (F6)", "Peak Rating: Kidney-F-7.raw (F7)", "Peak Rating: Kidney-F-8.raw (F8)", "Peak Rating: Kidney-F-17.raw (F17)", "Peak Rating: Kidney-F-18.raw (F18)", "Peak Rating: Kidney-F-19.raw (F19)", "Peak Rating: Kidney-F-20.raw (F20)", "Peak Rating: Kidney-F-21.raw (F21)", "Peak Rating: Kidney-F-22.raw (F22)", "Peak Rating: Kidney-F-23.raw (F23)", "Peak Rating: Kidney-F-24.raw (F24)", "Peak Rating: Kidney-F-33.raw (F33)", "Peak Rating: Kidney-F-34.raw (F34)", "Peak Rating: Kidney-F-35.raw (F35)", "Peak Rating: Kidney-F-36.raw (F36)", "Peak Rating: Kidney-F-37.raw (F37)", "Peak Rating: Kidney-F-38.raw (F38)", "Peak Rating: Kidney-F-39.raw (F39)", "Peak Rating: Kidney-F-40.raw (F40)"
"1", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.52", "280.23952", "279.23225", "7.657", "1698921840.13036", "119", "4", "0", "97.1", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "543265709.835519", " 676283245.948451", " 698684931.206623", " 1077459950.09103", " 1007786250.96453", "16.9463409496923", " 35.3919789951875", " 13.2454142753491", " 27.0666068901412", " 17.7840542425902", "0.778", " 1.542", " 1.442", " 0.628", " 0.935", "-0.36", " 0.62", " 0.53", " -0.67", " -0.10", "0.157885209129452", " 0.0163440712823407", " 0.106920129529265", " 0.00141111035275654", " 0.927999663765172", "0.999999999999803", " 0.0976558259119858", " 0.372365193116157", " 0.0422503040913576", " 0.999999999990951", "8.6", "7.0", " 7.0", " 6.6", " 8.1", " 6.6", " 7.0", " 6.2", " 7.0", " 6.0", " 6.3", " 5.2", " 5.6", " 7.1", " 6.0", " 7.1", " 7.1", " 8.6", " 7.5", " 8.6", " 8.6", " 8.6", " 7.5", " 8.6", " 7.1", " 7.2", " 6.5", " 7.6", " 6.5", " 6.5", " 5.7", " 6.1", " 5.7", " 5.5", " 7.0", " 7.0", " 8.1", " 6.6", " 7.7", " 7.0", " 6.6"
"2", "", "False", "Docosahexaenoic Acid", "C22 H32 O2", "Full match", " Full match", " No results", " Partial match", " Partial match", "-2.11", "328.23954", "327.23226", "7.404", "1060002660.96833", "12", "2", "0", "91.8", "55.2", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "339006264.491089", " 544105354.095765", " 330495455.113292", " 640177745.603211", " 649656497.776273", "28.8027951768946", " 37.2343435522917", " 20.6926189113641", " 25.8710796826284", " 17.576177823789", "1.026", " 1.937", " 1.966", " 0.850", " 1.015", "0.04", " 0.95", " 0.98", " -0.23", " 0.02", "0.999915614905847", " 9.51942345847057E-05", " 0.000962578509525192", " 0.432609163911005", " 0.933251167213069", "0.999999999999803", " 0.00168529052338849", " 0.0106800377485414", " 0.999999999986602", " 0.999999999990951", "8.1", "7.6", " 5.7", " 7.2", " 6.8", " 7.6", " 8.0", " 7.2", " 6.5", " 6.7", " 7.1", " 5.2", " 7.1", " 6.7", " 6.0", " 7.1", " 6.7", " 5.7", " 7.6", " 7.2", " 6.1", " 6.8", " 6.5", " 6.5", " 7.6", " 5.3", " 6.1", " 6.8", " 5.3", " 6.5", " 6.1", " 7.2", " 5.3", " 6.2", " 7.0", " 8.1", " 5.8", " 6.6", " 7.0", " 6.6", " 6.2"
"3", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.30", "304.23953", "303.23225", "7.549", "800807670.4378", "51", "2", "0", "95.7", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "473144334.367844", " 462181431.827966", " 397334867.834248", " 511669726.524951", " 484921591.637128", "28.4620831767826", " 32.0489985292738", " 20.9738510495965", " 24.813562609898", " 34.6639863830397", "1.191", " 1.288", " 1.220", " 0.903", " 0.948", "0.25", " 0.36", " 0.29", " -0.15", " -0.08", "0.893221115368176", " 0.230668969189372", " 0.843128373574148", " 0.870821554169983", " 0.801813421548868", "0.999999999999803", " 0.640811802573212", " 0.999999999995581", " 0.999999999986602", " 0.999999999990951", "8.0", "6.8", " 8.0", " 5.7", " 7.6", " 6.5", " 7.6", " 6.5", " 5.7", " 6.3", " 7.5", " 5.6", " 7.1", " 6.0", " 6.0", " 7.1", " 7.1", " 7.2", " 7.6", " 7.6", " 5.7", " 7.2", " 7.6", " 6.8", " 7.2", " 6.1", " 5.7", " 6.1", " 6.1", " 6.5", " 7.6", " 6.1", " 4.9", " 5.6", " 6.7", " 7.5", " 6.7", " 5.2", " 7.1", " 5.6", " 6.3"
"5", "", "False", "a-Eleostearic acid", "C18 H30 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "-2.70", "278.22383", "277.21655", "7.171", "703304584.739502", "76", "6", "0", "96.6", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "105235348.286472", " 110958583.446546", " 178450129.859314", " 355766809.682612", " 314592014.345432", "28.3143787288685", " 67.8378391652828", " 24.5591387532144", " 36.270276104016", " 33.2025875026071", "0.590", " 1.994", " 1.763", " 0.312", " 0.884", "-0.76", " 1.00", " 0.82", " -1.68", " -0.18", "0.105340568204889", " 0.00852234742730407", " 0.0499154303545497", " 9.5806139143173E-06", " 0.953718863499072", "0.999999999999803", " 0.0599070892684021", " 0.210420333675216", " 0.00291215349110252", " 0.999999999990951", "8.0", "7.2", " 7.2", " 6.8", " 7.6", " 8.0", " 7.2", " 8.0", " 5.7", " 4.3", " 5.8", " 4.7", " 5.5", " 6.6", " 7.0", " 6.6", " 5.8", " 7.6", " 7.2", " 7.6", " 7.2", " 7.2", " 7.2", " 7.6", " 7.2", " 7.5", " 6.0", " 7.1", " 7.1", " 6.7", " 7.1", " 6.7", " 6.0", " 6.7", " 5.6", " 5.2", " 5.6", " 6.0", " 4.8", " 7.1", " 7.1"
"4", "", "False", "Oleic acid", "C18 H34 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.51", "282.25517", "281.24789", "8.170", "640214531.152353", "60", "3", "0", "96.9", "9.8", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "184003466.002803", " 279823926.212334", " 226520580.953361", " 385007797.581998", " 368085900.62517", "22.5350482915265", " 32.9919677396418", " 17.6762776677225", " 26.93028087069", " 20.7748885989822", "0.812", " 1.700", " 1.625", " 0.727", " 0.956", "-0.30", " 0.77", " 0.70", " -0.46", " -0.06", "0.279018319503102", " 0.00160862251167804", " 0.0224317268343398", " 0.0301384642418023", " 0.863389745683542", "0.999999999999803", " 0.0167156860996109", " 0.113621572878286", " 0.43829937997364", " 0.999999999990951", "8.1", "6.5", " 7.6", " 6.1", " 7.6", " 7.6", " 7.6", " 7.6", " 6.8", " 6.0", " 6.0", " 5.2", " 7.1", " 6.0", " 6.0", " 6.0", " 6.0", " 7.0", " 8.1", " 8.1", " 7.0", " 8.1", " 7.0", " 7.0", " 8.1", " 6.5", " 6.5", " 6.1", " 6.5", " 6.5", " 7.2", " 5.7", " 6.5", " 6.8", " 7.6", " 7.2", " 6.5", " 7.6", " 6.5", " 6.5", " 5.7"
"7", "", "False", "Ethyl myristate", "C16 H32 O2", "Full match", " Full match", " No results", " Not the top hit", " Not the top hit", "-2.94", "256.23948", "255.23220", "8.062", "507610180.022805", "32", "2", "0", "97.0", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "233288994.408459", " 283758562.151321", " 259617147.214885", " 339131644.150305", " 328116578.097602", "15.4927676073681", " 25.2873514324112", " 10.534562846899", " 20.0784195554307", " 15.5778131695733", "0.899", " 1.306", " 1.264", " 0.837", " 0.968", "-0.15", " 0.39", " 0.34", " -0.26", " -0.05", "0.715457723744523", " 0.0175671010641251", " 0.124165952134233", " 0.0368738208818945", " 0.913750559040613", "0.999999999999803", " 0.101169569983756", " 0.413295240675375", " 0.46840804024897", " 0.999999999990951", "8.6", "8.1", " 7.0", " 7.0", " 7.0", " 8.1", " 7.7", " 8.1", " 7.0", " 6.1", " 6.5", " 5.7", " 6.5", " 6.5", " 7.6", " 6.5", " 6.5", " 6.3", " 8.6", " 8.6", " 8.2", " 8.6", " 8.6", " 7.1", " 8.2", " 5.3", " 6.1", " 6.8", " 6.1", " 6.1", " 6.1", " 7.6", " 5.7", " 6.2", " 7.7", " 8.1", " 7.7", " 6.6", " 6.6", " 7.0", " 5.8"
"6", "", "False", "Palmitoleic acid", "C16 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-3.06", "254.22380", "253.21653", "7.474", "489741847.765768", "57", "6", "0", "97.5", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "90819810.5288999", " 154916488.766001", " 164151501.487226", " 322093020.822445", " 272925348.176878", "34.4554206585979", " 35.9358434411165", " 22.517251487092", " 25.6365210488612", " 30.8924614609489", "0.553", " 1.962", " 1.663", " 0.481", " 0.847", "-0.85", " 0.97", " 0.73", " -1.06", " -0.24", "0.0185215000565815", " 0.00149442547021106", " 0.0153767213745298", " 0.000768271668910359", " 0.911275393371935", "0.348945061065995", " 0.0158741194391308", " 0.0841514012784064", " 0.034880539568674", " 0.999999999990951", "8.0", "6.7", " 7.1", " 6.7", " 6.7", " 7.1", " 7.1", " 6.7", " 6.3", " 7.1", " 7.1", " 6.7", " 7.1", " 6.7", " 6.7", " 6.7", " 6.7", " 7.2", " 6.5", " 6.1", " 7.6", " 7.6", " 7.6", " 6.8", " 7.2", " 7.2", " 6.5", " 7.6", " 6.1", " 7.6", " 8.0", " 7.6", " 7.2", " 7.1", " 7.1", " 7.1", " 5.2", " 6.0", " 5.6", " 5.6", " 5.6"
"8", "", "False", "9,12-hexadecadienoic acid", "C16 H28 O2", "Full match", " No results", " No results", " Partial match", " Full match", "-2.97", "252.20818", "251.20090", "6.939", "413994946.817634", "50", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "33534883.178667", " 124439910.113972", " 30993295.4480742", " 222811273.970415", " 172513535.865708", "37.8874152194567", " 79.7323923821092", " 33.8784782663895", " 32.7140006946349", " 36.0165559148003", "1.082", " 7.189", " 5.566", " 0.558", " 0.774", "0.11", " 2.85", " 2.48", " -0.84", " -0.37", "0.771547547272202", " 2.34809827137639E-09", " 1.82810689919322E-08", " 0.05187635865174", " 0.948348841977198", "0.999999999999803", " 3.74130324572638E-07", " 1.21699687860577E-06", " 0.586779256749681", " 0.999999999990951", "7.5", "6.7", " 6.7", " 6.7", " 6.7", " 7.1", " 6.7", " 6.3", " 7.1", " 6.2", " 6.6", " 6.2", " 6.2", " 6.2", " 6.2", " 5.1", " 6.2", " 6.7", " 6.7", " 6.3", " 6.3", " 6.7", " 7.1", " 7.1", " 6.7", " 7.1", " 6.3", " 6.7", " 7.1", " 7.5", " 7.1", " 6.0", " 6.7", " 6.3", " 7.1", " 7.1", " 7.1", " 7.1", " 6.7", " 7.1", " 6.7"
"10", "", "False", "Alepric acid", "C14 H24 O2", "Full match", " No results", " No results", " Partial match", " Full match", "-4.48", "224.17663", "223.16935", "6.178", "276619381.7235", "48", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "11408420.0485023", " 76698001.4013409", " 15467198.5955714", " 143158790.599001", " 102049988.040366", "49.0275910398331", " 81.8676258757406", " 39.7321834836503", " 32.6344549651315", " 53.7093348125759", "0.738", " 9.256", " 6.598", " 0.536", " 0.713", "-0.44", " 3.21", " 2.72", " -0.90", " -0.49", "0.997824583910632", " 1.42545136805339E-08", " 6.09271449958371E-08", " 0.0598279676995671", " 0.986339426833776", "0.999999999999803", " 1.36273150785904E-06", " 2.89454680206802E-06", " 0.609048711181593", " 0.999999999990951", "7.5", "5.8", " 6.2", " 6.6", " 5.8", " 5.8", " 6.6", " 6.2", " 6.2", " 6.6", " 6.6", " 7.0", " 6.2", " 6.6", " 6.6", " 6.2", " 6.2", " 6.1", " 7.5", " 7.5", " 6.7", " 6.7", " 6.7", " 7.5", " 7.5", " 7.5", " 7.1", " 6.7", " 7.1", " 7.1", " 7.1", " 7.5", " 7.1", " 6.6", " 7.0", " 6.6", " 7.0", " 6.6", " 6.6", " 6.6", " 6.6"
"9", "", "False", "Myristic acid", "C14 H28 O2", "Full match", " Full match", " No results", " Full match", " Full match", "-4.29", "228.20795", "227.20067", "7.288", "265500925.340635", "27", "2", "0", "97.8", "9.9", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "51931657.0125853", " 87053067.5150123", " 77720424.1115462", " 161522994.901345", " 127204344.650322", "21.850043834034", " 55.5154937341115", " 28.3031999294951", " 24.7005410593879", " 25.4793249876242", "0.668", " 2.078", " 1.637", " 0.539", " 0.788", "-0.58", " 1.06", " 0.71", " -0.89", " -0.34", "0.101105631635886", " 0.000963632341394849", " 0.0642273145694239", " 0.00342720150382714", " 0.508122243493281", "0.999999999999803", " 0.0112345429069936", " 0.253643462621623", " 0.0758454593673049", " 0.999999999990951", "8.0", "7.2", " 7.6", " 7.6", " 6.8", " 7.2", " 8.0", " 7.2", " 7.6", " 6.6", " 6.2", " 6.6", " 6.2", " 6.2", " 6.2", " 6.2", " 6.2", " 5.7", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.2", " 7.6", " 7.6", " 7.2", " 7.6", " 7.2", " 7.6", " 7.6", " 7.2", " 5.7", " 7.2", " 8.0", " 7.6", " 7.6", " 6.8", " 7.6", " 6.1"
