Compounds ID,Calc. MW,Name,Total Distance
2,320.23499,(±)11(12)-EET,4.718852322397361
1,280.24008,Linoleic acid,5.4619147600495195
3,282.25574,Oleic acid,5.4706809363496145
4,254.22434,Palmitoleic acid,5.305569106648294
7,278.22441,Oleic acid alkyne,5.168160993561263
8,296.23494,(+/-)12(13)-DiHOME,5.17454056273456
6,304.24016,Arachidonic acid,3.928004733150549
5,256.24003,Ethyl myristate,5.398245446183197
9,318.21932,(+/-)18-HEPE,2.740040251441379
10,328.24020,Docosahexaenoic acid,3.3632570065320873
11,228.20841,Myristic acid,5.296499959060569
13,280.20371,7-hydroxy-10E-Heptadecen-8-ynoic acid,4.9960178994284865
12,344.23499,14(S)-HDHA,5.1032581440975315
15,332.27152,Adrenic acid,4.201867629683679
16,330.25580,Docosapentaenoic acid,3.419984255099711
30,352.22492,Prostaglandin E2,5.052970361659836
17,414.29808,ascr#29,5.039996330116419
22,226.19275,5-methyl-2E-tridecenoic acid,5.380173505055349
20,302.22450,Eicosapentaenoic acid,3.0978394525292083
21,636.53296,C40 H68 N4 O2,5.3051125142667415
27,284.27145,Stearic acid,5.291221431970935
23,330.25585,Docosapentaenoic acid,4.224900682292818
39,294.21951,13(S)-HOTrE,4.937723390692975
61,336.23013,12-epi Leukotriene B4,4.957260318369468
36,555.35341,LPC 16:0,5.524880189574654
312,250.98522,C5 H5 N3 O7 S,3.192406471213041
42,282.21938,12S-hydroxy-16-heptadecynoic acid,4.103399117309698
51,336.23009,(+/-)12-HpETE,4.1860049737618406
90,370.23541,Thromboxane B2,4.9957872269125865
49,312.23010,(±)9-HpODE,6.479826062267609
46,462.29821,3-dehydroecdysone,4.7197976130049035
77,334.21436,20-hydroxy Leukotriene B4,5.249762921072614
35,310.28716,11(Z)-Eicosenoic acid,5.039286542890405
43,662.45219,C36 H63 N4 O5 P,4.406150018467352
29,370.23544,Thromboxane B2,4.7551517309413684
47,268.24014,trans-10-Heptadecenoic acid,5.219101116044881
24,584.50150,C34 H69 N2 O3 P,5.270746739061645
52,268.08072,ethyl 3-cyano-2-hydroxy-6-phenylisonicotinate,5.093424190607094
53,603.35382,LPC 20:4,5.299180921412029
55,318.21941,(+/-)12-HpETE,5.120921190651421
68,579.35346,LPC 18:2,5.204364129443669
67,244.06921,Uridine,4.854701568967994
116,334.21446,12-oxo Leukotriene B4,5.116941925564306
107,352.22500,Prostaglandin E2,4.644576526044212
64,501.28560,LPE 20:4,5.42627276391721
66,525.28547,LPE 22:6,5.439079343045034
72,583.38497,LPC 18:0,5.341774986488923
62,226.19279,5-methyl-2E-tridecenoic acid,4.22794652278033
103,402.23796,C18 H35 N4 O4 P,5.221952351967195
38,266.15514,Dodecyl sulfate,5.055550975073622
86,224.17708,Alepric acid,4.944570621763914
281,250.98522,C5 H5 N3 O7 S,3.080000865105079
65,218.00974,C7 H3 N6 O P,4.360413052038485
79,392.26941,C22 H37 Cl N4,5.199941105360774
91,270.25583,Margaric acid,5.26237666613537
153,294.21952,13(S)-HOTrE,5.138000575126661
230,434.22791,C20 H30 N6 O5,5.186416977988357
163,252.13578,C14 H20 O4,5.498602547983781
101,296.23526,(+/-)12(13)-DiHOME,4.797797895129057
122,378.23827,C16 H35 N4 O4 P,5.5847824479501815
121,362.20710,C17 H26 N6 O3,4.741820026121684
155,336.23005,(+/-)12-HpETE,4.702564682591175
165,356.25659,Prostaglandin F1a,4.468773296311309
97,555.35345,LPC 16:0,5.330724769811199
125,400.22250,C20 H28 N6 O3,2.1637528897674896
126,360.23017,17(S)-HpDHA,5.47932445335654
76,380.16500,C21 H24 N4 O S,5.0624368008882055
87,390.29808,C22 H38 N4 O2,5.396997987223598
134,294.18316,Embelin,5.0418980676664455
148,242.08998,Thymidine,5.149863171843291
166,298.25062,NP-011548,5.461575114365088
98,658.42082,fucoxanthin,1.8208654500129975
88,420.16014,C26 H20 N4 O2,5.065755330640102
84,382.18093,C24 H22 N4 O,4.7851981630599765
204,334.21199,C16 H26 N6 O2,5.261474394673942
190,298.25066,NP-011548,4.817222085418028
115,341.29280,Cer 18:1;2O/2:0,5.055260502785225
227,354.24075,Prostaglandin F2?,4.295770973124836
105,614.45221,C28 H59 N10 O3 P,5.305959317199111
140,418.32938,C24 H42 N4 O2,5.416752701483761
309,243.18315,C13 H25 N O3,5.320284287893751
147,360.22765,C18 H28 N6 O2,5.416045451780216
243,378.24054,Resolvin T1,4.966866743098778
232,270.10791,C9 H14 N6 O4,4.5792326816608
123,324.26641,Labdanolic acid,5.333803869697894
132,578.43085,PA(O-16:0/12:0),5.588754578044286
182,344.23504,(±)17-HDoHE,3.824887811007035
172,627.35358,LPC 22:6,5.444751071590612
110,235.98268,C8 H4 N4 O S2,4.716893748545578
136,242.22420,Pentadecanoic acid,5.327579850145563
85,664.46839,PG O-19:1_10:0,5.124374673686823
303,220.86213,220.86213,5.1698754050240705
92,366.25332,C20 H35 Cl N4,4.925256669530482
171,240.17220,7-oxo-11E-Tetradecenoic acid,3.5943609126005116
138,296.27133,17-methyl-6Z-octadecenoic acid,5.243219715639803
149,238.19290,3-pentadecynoic acid,4.69673502063261
170,581.36923,LPC 18:1,5.463960704958811
210,272.23510,16-Hydroxyhexadecanoic acid,5.779191776437522
259,356.25641,Prostaglandin F1a,4.449474617005507
174,404.25375,C20 H32 N6 O3,4.97519569970881
