Compounds ID,Calc. MW,Name,Total Distance
1,280.24075,"9(Z),11(E)-Conjugated linoleic acid",5.65988415055742
2,282.25639,Oleic acid,4.798703719173981
3,256.24118,Ethyl myristate,5.174648869374272
5,328.24130,Docosahexaenoic acid,3.0166976601279423
6,442.21167,C24 H30 N2 O6,4.669670424139758
8,284.27207,Stearic acid,5.635914224820923
9,254.22560,Palmitoleic Acid,5.157967026969119
7,304.24104,Arachidonic acid,4.064047375256214
10,270.25623,Margaric acid,5.5955768679928495
11,278.22519,Oleic acid alkyne,5.351734464251284
14,397.22685,Drotaverine,5.022384314759207
13,306.25672,"8Z,11Z,14Z-Eicosatrienoic acid",3.754006196140566
16,302.22551,Eicosapentaenoic acid,3.866997634920861
12,330.25683,"all-cis-4,7,10,13,16-Docosapentaenoic acid",4.352878695660162
15,332.27243,Adrenic acid,3.525944294696775
20,310.28798,11(Z)-Eicosenoic acid,4.384066086932474
17,565.35450,C32 H48 N5 O2 P,5.5001323850655535
21,278.22528,a-Eleostearic acid,5.103938151020983
51,474.29081,C28 H43 O4 P,5.80535001727736
65,481.31809,PE(18:0/0:0),5.766876627125175
129,340.20850,C19 H34 O P2,5.708636101766665
54,579.35670,LPC 18:2,5.465943376829341
28,228.21106,Myristic acid,5.1090150925851825
24,368.36693,Lignoceric acid,5.526722263665325
36,243.18518,243.18518,5.281290823581059
29,240.07646,Dinoterb,5.098810670087626
38,505.31885,"PE(20:2(11Z,14Z)/0:0)",5.537893637979986
27,308.27240,"11(Z),14(Z)-Eicosadienoic acid",4.0000595065359335
26,330.25701,"all-cis-4,7,10,13,16-Docosapentaenoic acid",3.6897719076858793
48,296.23618,(+/-)12(13)-DiHOME,5.693996998620511
25,356.27284,"4,8,12,15,19,21-tetracosahexaenoic acid",3.6875404977359096
60,466.31312,ST 27:1;O;S,5.586750498193528
210,242.22608,Pentadecanoic acid,5.551751710503146
145,242.22614,Pentadecanoic acid,5.45983191540022
88,220.86469,C H4 Br N O S3,5.24976248541047
85,382.38245,Pentacosanoic acid,5.804249018029081
78,220.85428,220.85428,5.635980640670557
102,435.33599,C19 H45 N7 O2 S,5.54875436314711
31,582.46479,FAHFA 18:2/20:4,4.577992739998784
538,218.01238,C11 H7 O3 P,5.6624403078800025
37,396.39833,Cerotic acid,5.665605980826798
99,555.35710,Phenylalanocholic Acid,5.7395391259013016
42,222.09130,triafungin,6.08617150494822
87,382.38245,Pentacosanoic acid,5.826176228201884
122,424.39259,C27 H52 O3,5.331402362784506
45,306.25650,"8Z,11Z,14Z-Eicosatrienoic acid",5.214180133110209
237,218.01259,C6 H2 N8 S,5.72801598131977
35,358.28836,"6Z,9Z,12Z,15Z,18Z-tetracosapentaenoic acid",3.381796997885158
333,382.34604,24-hydroxy-10Z-tetracosenoic acid,5.619391299159368
43,312.30369,Arachidic acid,5.678633535826385
72,252.21002,"9,12-hexadecadienoic acid",4.264138516451296
128,529.31883,"PE(22:4(7Z,10Z,13Z,16Z)/0:0)",5.22866340212464
131,603.35641,LPC 20:4,5.543069777442882
39,586.49604,FAHFA 18:1/20:3,4.808357666570535
232,507.33430,PE(20:1(11Z)/0:0),5.411557087753117
41,628.51156,C44 H69 P,5.207023203418205
216,294.18709,Myristyl sulfate,5.550927074873533
40,362.24434,"16,16-dimethyl-PGA2",5.476032968483334
63,340.33549,Docosanoic acid,5.77774614234168
50,364.26009,"11-deoxy-16,16-dimethyl-PGE2",4.942991689169783
185,296.23623,(+/-)9-HODE,5.503414304986927
166,266.15573,NP-021701,5.755526913527825
76,550.53321,C36 H70 O3,5.712401098264776
52,338.24412,"8R,9S-cis-epoxy-10S-hydroxy-eicosa-11Z,14Z-dienoic acid.",5.388823162066588
150,466.43990,29-Oxotriacontanoic acid,5.5541008220358
67,304.24101,Arachidonic acid,4.533170386289493
160,354.35114,Tricosylic acid,5.663367037292695
119,268.24064,trans-10-Heptadecenoic acid,5.1903820626921755
83,250.15810,"2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-decahydronaphthalen-2-yl]prop-2-enoic acid",5.602443346384816
408,202.81216,202.81216,5.465361131808295
172,298.25179,NP-011548,5.696040729100864
118,294.22053,13(S)-HOTrE,6.767313172529891
296,581.37220,C32 H55 N O6 S,5.397590763783176
59,334.27980,C22 H39 P,5.391536778007666
62,534.46287,FAHFA 16:0/18:2,5.307489350468508
217,613.34379,C35 H53 N O4 P2,5.6627302992294055
77,456.32476,LMST01031183,6.801973680265315
140,627.35917,C40 H45 N5 O2,5.5807691999791835
70,332.26420,C22 H37 P,5.3170470426809855
393,592.58230,C38 H77 N2 P,5.771303392024882
96,369.24423,ADB-CHMICA,5.392589394350957
57,640.56856,C38 H77 N2 O3 P,4.7792572558813085
95,426.31451,Stoloniferone A,5.373321855854473
84,348.22859,11-deoxy-11-methylene-15-keto-PGD2,5.759879102908202
227,426.37227,Hexacosanedioic acid,5.822522516778083
111,350.24424,9-deoxy-9-methylene-PGE2,5.4949646781366175
79,224.03768,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,5.542495939875132
98,580.54629,C36 H73 N2 O P,5.445737302741428
721,298.16115,NP-014839,5.7617726965137335
196,398.34117,Axillarenic acid,5.74094026311684
113,338.31950,Erucic acid,4.566563512790584
355,634.63149,C41 H83 N2 P,5.676157931414991
278,454.40299,FAHFA 18:0/10:0,5.759894300344089
