"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2023-01-11", "Mass List Match: HMDB Serum metabolites (v5. 40600 cpds)", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla_lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla_lps", "Group CV [%]: cla", "Group CV [%]: cla_lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla_lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla_lps) / (ctrl)", "Ratio: (cla_lps) / (lps)", "Ratio: (no2-cla_lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla_lps) / (ctrl)", "Log2 Fold Change: (cla_lps) / (lps)", "Log2 Fold Change: (no2-cla_lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla_lps) / (ctrl)", "P-value: (cla_lps) / (lps)", "P-value: (no2-cla_lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla_lps) / (ctrl)", "Adj. P-value: (cla_lps) / (lps)", "Adj. P-value: (no2-cla_lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Kidney-H-9.raw (F9)", "Peak Rating: Kidney-H-10.raw (F10)", "Peak Rating: Kidney-H-11.raw (F11)", "Peak Rating: Kidney-H-12.raw (F12)", "Peak Rating: Kidney-H-13.raw (F13)", "Peak Rating: Kidney-H-14.raw (F14)", "Peak Rating: Kidney-H-15.raw (F15)", "Peak Rating: Kidney-H-16.raw (F16)", "Peak Rating: Kidney-H-25.raw (F25)", "Peak Rating: Kidney-H-26.raw (F26)", "Peak Rating: Kidney-H-27.raw (F27)", "Peak Rating: Kidney-H-28.raw (F28)", "Peak Rating: Kidney-H-29.raw (F29)", "Peak Rating: Kidney-H-30.raw (F30)", "Peak Rating: Kidney-H-31.raw (F31)", "Peak Rating: Kidney-H-32.raw (F32)", "Peak Rating: Kidney-H-1.raw (F1)", "Peak Rating: Kidney-H-2.raw (F2)", "Peak Rating: Kidney-H-3.raw (F3)", "Peak Rating: Kidney-H-4.raw (F4)", "Peak Rating: Kidney-H-5.raw (F5)", "Peak Rating: Kidney-H-6.raw (F6)", "Peak Rating: Kidney-H-7.raw (F7)", "Peak Rating: Kidney-H-8.raw (F8)", "Peak Rating: Kidney-H-17.raw (F17)", "Peak Rating: Kidney-H-18.raw (F18)", "Peak Rating: Kidney-H-19.raw (F19)", "Peak Rating: Kidney-H-20.raw (F20)", "Peak Rating: Kidney-H-21.raw (F21)", "Peak Rating: Kidney-H-22.raw (F22)", "Peak Rating: Kidney-H-23.raw (F23)", "Peak Rating: Kidney-H-24.raw (F24)", "Peak Rating: Kidney-H-33.raw (F33)", "Peak Rating: Kidney-H-34.raw (F34)", "Peak Rating: Kidney-H-35.raw (F35)", "Peak Rating: Kidney-H-36.raw (F36)", "Peak Rating: Kidney-H-37.raw (F37)", "Peak Rating: Kidney-H-38.raw (F38)", "Peak Rating: Kidney-H-39.raw (F39)", "Peak Rating: Kidney-H-40.raw (F40)"
"2", "", "False", "Docosahexaenoic Acid", "C22 H32 O2", "Full match", " Full match", " No results", " Partial match", " Not the top hit", "-2.10", "328.23954", "327.23225", "7.434", "2700832147.74278", "9", "2", "0", "94.3", "60.4", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1396906041.86983", " 1448859633.57233", " 1378281768.21564", " 1876929528.41596", " 1578903250.91093", "38.2000282177712", " 36.9104772988487", " 24.8974911706535", " 31.3010474250101", " 29.9440305740151", "1.014", " 1.362", " 1.146", " 0.772", " 0.841", "0.02", " 0.45", " 0.20", " -0.37", " -0.25", "0.998536907370986", " 0.647858468422731", " 0.999874335320377", " 0.692239024306302", " 0.738720290745894", "1", " 1", " 1", " 1", " 1", "7.6", "7.1", " 6.7", " 7.1", " 7.1", " 7.1", " 6.7", " 7.1", " 6.0", " 6.7", " 6.3", " 6.7", " 6.7", " 7.1", " 6.7", " 6.7", " 7.1", " 7.2", " 7.2", " 7.2", " 6.8", " 7.2", " 6.8", " 7.2", " 7.2", " 6.3", " 6.0", " 7.1", " 6.7", " 7.1", " 7.1", " 6.0", " 7.1", " 7.2", " 7.6", " 6.1", " 6.8", " 6.1", " 7.2", " 7.2", " 6.8"
"1", "", "False", "Arachidonic acid", "C20 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.34", "304.23952", "303.23223", "7.572", "1984513668.39638", "26", "2", "0", "95.2", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1160407356.20479", " 1116155057.14568", " 1095142268.34957", " 1324655735.87345", " 1171380910.88217", "23.6194505542255", " 30.5201748993918", " 26.0185030633497", " 38.3993514414025", " 30.1167317402624", "1.060", " 1.210", " 1.070", " 0.843", " 0.884", "0.08", " 0.27", " 0.10", " -0.25", " -0.18", "0.999893878350949", " 0.999990905885098", " 0.967083418318943", " 0.995005644193684", " 0.950436876721042", "1", " 1", " 1", " 1", " 1", "8.0", "7.2", " 7.2", " 6.5", " 7.6", " 7.6", " 7.2", " 7.6", " 6.8", " 6.7", " 6.0", " 6.7", " 6.7", " 7.1", " 6.0", " 7.1", " 7.1", " 8.0", " 6.8", " 7.2", " 6.5", " 7.2", " 5.7", " 7.2", " 6.8", " 6.7", " 6.3", " 7.1", " 6.7", " 6.7", " 5.6", " 6.7", " 5.6", " 6.0", " 6.7", " 6.0", " 5.6", " 6.3", " 6.7", " 6.7", " 6.0"
"3", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.55", "280.23952", "279.23224", "7.693", "1671509108.14877", "5", "4", "0", "96.9", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "931947772.599595", " 969543832.729641", " 1101832423.23437", " 1499716348.916", " 1326380071.98255", "15.5605044715857", " 30.6632352274096", " 17.1932962595479", " 17.8504545863113", " 12.7532738257508", "0.846", " 1.361", " 1.204", " 0.646", " 0.884", "-0.24", " 0.44", " 0.27", " -0.63", " -0.18", "0.400162638257786", " 0.369166156262082", " 0.816703209970384", " 0.000501718306576415", " 0.940275778307614", "1", " 1", " 1", " 0.0600790948181705", " 1", "8.6", "7.0", " 7.7", " 7.0", " 7.3", " 7.3", " 8.1", " 7.3", " 7.0", " 6.7", " 6.7", " 6.0", " 6.0", " 6.7", " 6.7", " 6.7", " 7.1", " 8.1", " 7.3", " 7.3", " 8.1", " 7.7", " 7.7", " 7.0", " 7.3", " 7.7", " 7.7", " 7.7", " 7.7", " 7.7", " 7.3", " 8.1", " 7.3", " 8.6", " 8.6", " 7.9", " 8.6", " 8.2", " 8.2", " 8.2", " 7.5"
"6", "", "False", "a-Linolenic acid", "C18 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.72", "278.22382", "277.21654", "7.195", "1034569535.98313", "7", "6", "0", "97.0", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "352048724.06858", " 262953702.432706", " 580319476.174261", " 765661150.651424", " 655857403.378408", "28.2018089571389", " 59.6996274019857", " 28.6937059118188", " 30.7546754348558", " 27.8350203052598", "0.607", " 1.319", " 1.130", " 0.343", " 0.857", "-0.72", " 0.40", " 0.18", " -1.54", " -0.22", "0.478039369103123", " 0.797087040155932", " 0.935955191257667", " 3.77758293386155E-05", " 0.996973829476251", "1", " 1", " 1", " 0.0233780254209098", " 1", "8.0", "8.0", " 7.6", " 7.2", " 8.0", " 8.0", " 7.6", " 8.0", " 7.6", " 7.0", " 7.0", " 6.2", " 6.6", " 6.2", " 6.2", " 7.0", " 7.0", " 7.6", " 7.6", " 7.6", " 8.0", " 7.6", " 7.6", " 8.0", " 7.2", " 7.1", " 6.7", " 6.7", " 7.1", " 7.1", " 7.5", " 7.1", " 7.5", " 8.0", " 8.0", " 7.6", " 7.2", " 7.6", " 7.6", " 8.0", " 7.6"
"4", "", "False", "Oleic acid", "C18 H34 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-2.56", "282.25516", "281.24788", "8.203", "864109593.913727", "6", "3", "0", "96.9", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "533181039.626089", " 534284582.19196", " 600729114.043009", " 736996839.348583", " 763175273.207476", "15.1049310098606", " 26.6685844211112", " 13.8787067971508", " 22.9059113661055", " 9.73953753322539", "0.888", " 1.227", " 1.270", " 0.725", " 1.036", "-0.17", " 0.29", " 0.35", " -0.46", " 0.05", "0.367922574064293", " 0.933291239303064", " 0.360935391066818", " 0.076267411600096", " 0.821507212117646", "1", " 1", " 0.934224787390471", " 0.91180142978085", " 1", "9.5", "7.7", " 8.1", " 8.1", " 8.1", " 7.7", " 7.7", " 7.7", " 8.5", " 6.8", " 7.2", " 7.2", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 9.0", " 8.6", " 8.6", " 8.6", " 8.6", " 9.0", " 8.2", " 7.9", " 7.6", " 7.6", " 7.6", " 7.2", " 7.6", " 6.8", " 7.6", " 7.6", " 7.2", " 8.7", " 9.1", " 8.7", " 8.4", " 8.4", " 8.4", " 9.5"
"12", "", "False", "Cer 18:2;2O/2:0", "C20 H37 N O3", "Full match", " No results", " Full match", " Partial match", " Partial match", "-1.79", "339.27674", "338.26946", "5.557", "697094548.135437", "1", "0", "1", "", "", "0.1", "Single match found", " No matches found", "", "Multiple matches found", " Single match found", "PreferredDDA", "", "[M-H]-1", "131817021.012579", " 116201091.37878", " 8607249.50875265", " 16176140.5433942", " 14755700.9124317", "97.0900558941857", " 52.2836251412151", " 71.9097726552068", " 75.9285366431285", " 55.591805166514", "15.315", " 1.879", " 1.714", " 7.183", " 0.912", "3.94", " 0.91", " 0.78", " 2.84", " -0.13", "1.07966233731105E-08", " 0.448797861728146", " 0.582213811349459", " 2.62458130598775E-05", " 0.999475528850316", "1.79115178472971E-06", " 1", " 1", " 0.0233780254209098", " 1", "6.6", "5.8", " 5.8", " 6.6", " 5.8", " 5.8", " 6.2", " 6.6", " 6.2", " 6.6", " 6.2", " 6.2", " 5.8", " 6.2", " 5.5", " 6.2", " 6.2", " 5.5", " 3.2", " 5.1", " 6.2", " 3.6", " 5.1", " 4.7", " 5.8", " 4.7", " 6.2", " 5.1", " 4.7", " 2.8", " 6.6", " 5.8", " 4.7", " 5.5", " 5.1", " 6.2", " 4.7", " 5.8", " 6.6", " 4.3", " 3.9"
"5", "", "False", "Ethyl myristate", "C16 H32 O2", "Full match", " Full match", " No results", " Partial match", " Not the top hit", "-2.98", "256.23947", "255.23219", "8.093", "662803221.731722", "3", "2", "0", "97.6", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "461206070.572936", " 457852188.068404", " 490105995.961882", " 534228501.949436", " 514620066.259001", "35.1769133697998", " 11.6066400156616", " 15.6713353597636", " 26.2949675927862", " 15.4908992484746", "0.941", " 1.090", " 1.050", " 0.857", " 0.963", "-0.09", " 0.12", " 0.07", " -0.22", " -0.05", "0.745577915848839", " 0.983972675218877", " 0.999802394685491", " 0.999839610478117", " 0.955764398121619", "1", " 1", " 1", " 1", " 1", "8.6", "6.7", " 6.3", " 7.1", " 7.1", " 7.1", " 7.1", " 7.5", " 6.3", " 8.6", " 7.9", " 8.6", " 8.6", " 8.6", " 8.6", " 8.6", " 8.2", " 8.1", " 7.7", " 8.1", " 7.7", " 8.1", " 8.5", " 8.1", " 8.5", " 7.6", " 7.2", " 7.6", " 7.6", " 7.2", " 6.8", " 6.8", " 7.2", " 8.1", " 7.7", " 7.0", " 7.0", " 7.7", " 7.3", " 8.1", " 8.1"
"7","","False","9,12-hexadecadienoic acid","C16 H28 O2","Full match"," No results"," No results"," Partial match"," Full match","-3.09","252.20815","251.20087","6.963","635860176.055327","3","0","0","","","","No matches found"," No matches found","","Multiple matches found"," Single match found","PreferredDDA","","[M-H]-1","114860134.667743"," 216743400.472941"," 47903274.3510426"," 393131145.808903"," 371095327.512784","39.1300147441618"," 78.8457008569807"," 43.0619497382313"," 30.6253753085118"," 32.425078525132","2.398"," 8.207"," 7.747"," 0.551"," 0.944","1.26"," 3.04"," 2.95"," -0.86"," -0.08","0.0343584364841483"," 2.18040034583034E-07"," 2.05666580765929E-07"," 0.0372818585610996"," 0.999999962873041","0.316810182817388"," 2.01878097998992E-05"," 9.05437040126865E-06"," 0.709490938342898"," 1","7.5","7.1"," 6.7"," 7.5"," 7.1"," 7.1"," 7.1"," 7.1"," 7.1"," 6.2"," 6.6"," 6.6"," 6.6"," 6.6"," 6.6"," 6.6"," 7.0"," 7.0"," 6.6"," 6.6"," 6.6"," 6.6"," 6.6"," 6.6"," 6.6"," 7.1"," 7.1"," 7.1"," 7.5"," 7.1"," 7.1"," 7.1"," 7.1"," 7.5"," 7.1"," 7.1"," 7.1"," 7.1"," 7.1"," 7.1"," 7.1"
"131", "", "False", "", "C7 H10 N O3 P S2", "Full match", " No results", " No results", " No results", " No results", "2.71", "250.98465", "249.97737", "1.183", "545771086.494573", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "130438205.820713", " 150478814.137327", " 139528896.750385", " 218243977.726774", " 139326812.907716", "38.3200613342027", " 9.78518384883583", " 47.1968703644855", " 50.2359139442423", " 16.9351926051562", "0.935", " 1.564", " 0.999", " 0.689", " 0.638", "-0.10", " 0.65", " 0.00", " -0.54", " -0.65", "0.661730271078068", " 0.0957085834206428", " 0.992775825070156", " 0.0498553489900809", " 0.0364481470441008", "1", " 0.693245022750301", " 1", " 0.798403101200043", " 0.536624276398475", "6.3", "6.3", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " 5.8", " ", " ", " 5.8", " ", " ", " 5.5", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " "
"41", "", "False", "", "C20 H38 Cl N O3", "Full match", " No results", " No results", " No results", " No results", "-2.38", "375.25313", "374.24585", "6.208", "515066036.670418", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "25638524.9517602", " 54633096.7726488", " 20964041.0271752", " 22477942.3448284", " 44958436.7085046", "187.736921429434", " 78.1350866473523", " 147.543618510605", " 66.4403204237772", " 94.309154788877", "1.223", " 1.072", " 2.145", " 2.431", " 2.000", "0.29", " 0.10", " 1.10", " 1.28", " 1.00", "0.936237556394691", " 0.995751494248138", " 0.523016738930728", " 0.336310823084386", " 0.313040144462978", "1", " 1", " 1", " 1", " 1", "6.6", "5.8", " 6.6", " 5.5", " 6.2", " 5.5", " 6.2", " 6.2", " 5.8", " 6.2", " 5.5", " 5.5", " 5.8", " 5.5", " 5.5", " 5.1", " 5.1", " 5.8", " 5.1", " 5.1", " 4.7", " 5.5", " 5.5", " 5.5", " 5.5", " 5.5", " 5.1", " 5.1", " 6.6", " 5.5", " 4.7", " 5.1", " 5.5", " 5.5", " 6.6", " 5.1", " 5.1", " 6.2", " 6.2", " 5.5", " 5.8"
