Compounds ID,Calc. MW,Name,Total Distance
12,339.27674,Cer 18:2;2O/2:0,10.72007494500861
13,224.17659,Alepric acid,9.812984050153212
30,226.19226,5-methyl-2E-tridecenoic acid,10.52023634600963
378,256.23950,Ethyl myristate,10.759938859552545
4094,396.26320,PA(O-16:0/0:0),9.611765858320314
1733,396.26313,PA(O-16:0/0:0),10.339367197395228
159,458.24253,LPA 20:4,10.816903069899919
312,332.21118,Thalassotalamide A,9.635206695601571
1591,282.25523,Oleic acid,11.345585822365782
2341,258.82566,258.82566,11.011474057166648
1047,289.95273,289.95273,11.53266808822076
1280,289.95256,289.95256,10.017591105311974
250,482.24236,LPA 22:6,11.045995486215057
651,500.25290,LPA 22:6,11.023662348589085
358,365.29233,Cer 20:3;2O/2:0,11.976575455495759
2220,258.82554,258.82554,11.876206545752668
1003,256.23947,Ethyl myristate,10.025464322788078
995,375.25359,375.25359,11.271147014783413
1738,286.95058,C3 H N3 O13,9.825335384229087
1636,287.95041,Triclosan,9.489975002074486
1545,256.23958,Ethyl myristate,10.208709253919821
1692,256.82876,C H Cl3 N O2 P3,11.36723392513161
1353,286.95056,286.95056,10.377990172491725
3823,287.95031,Triclosan,9.791041193340254
1417,314.96956,314.96956,11.770756522767776
2256,316.97167,C2 H7 N O17,11.944717807992088
4131,315.97160,C3 H6 N6 O8 P2,11.472264819478088
5562,316.97169,C7 H5 N5 O6 P2,11.791265233021774
6822,397.26674,397.26674,10.21815366288071
2109,482.24498,LPA 22:6,11.442889381609577
685,345.20626,C18 H32 Cl N O3,11.533388763806668
461,396.26312,PA(O-16:0/0:0),10.708004168540418
373,334.21108,C16 H26 N6 O2,11.594520371298236
2267,278.97951,C8 H10 N O4 P S2,11.493964994426227
3322,482.24287,LPA 22:6,10.379950524489923
3038,208.84298,208.84298,10.332796765466643
3735,288.95204,C3 H6 Cl N5 O5 P2,10.327093843928253
4584,288.95191,C3 H6 Cl N5 O5 P2,11.00823535021741
2738,206.84590,206.84590,10.065372086831053
667,421.27973,421.27973,10.697857153635459
495,528.18024,C18 H34 Cl2 N8 O4 S,11.109320998090606
602,492.20374,C17 H37 Cl N4 O8 S,11.094853973500328
3103,242.76442,242.76442,11.686857281852884
301,654.48456,C36 H66 N2 O8,11.412675906465982
211,313.99742,C7 H13 N2 O6 P3,9.159648889749851
2605,312.96813,C7 H10 N O7 P3,11.261452261696535
1266,311.99496,C4 H14 N2 O8 P2 S,9.18888118818138
2243,312.99691,C5 H9 N5 O7 P2,9.266040655601193
3455,287.94986,Triclosan,11.549262443105139
7310,377.24989,377.24989,10.488722171547236
175,289.95271,289.95271,8.586576527010811
1877,288.95057,C3 H5 N3 O9 P2,8.505813041798621
3933,260.82255,260.82255,11.951662562908131
508,306.17998,C14 H22 N6 O2,9.281934519825217
5566,290.94932,C4 H3 N7 O3 P2 S,9.768396708933837
4065,397.26655,C13 H36 N9 O3 P,10.574364768190586
669,406.23462,diginatigenin,11.605737139344178
7046,300.91554,C2 H2 N5 O7 P3,10.708895313202369
610,400.25992,Ximaosteroid C,9.969445130635064
1230,397.23521,C18 H32 Cl N7 O,11.845120826001162
607,516.20353,C21 H42 Cl N2 O4 P S2,10.338968622430958
280,310.99504,Lodoxamide,9.553547019371603
756,367.30756,Cer 20:2;2O/2:0,11.372320961961925
630,436.23315,C21 H33 Cl N6 O2,11.972924899915691
2806,289.95277,C5 H8 Cl N2 O6 P S,9.856203697425496
7620,312.96812,C3 H8 N O14 P,11.67283549137227
4241,206.84581,206.84581,11.594790782094043
243,286.95064,286.95064,8.228265553712841
2322,287.95067,Triclosan,8.585724409530997
966,402.27191,C22 H43 O2 P S,10.88183000759711
4855,288.95198,C3 H6 Cl N5 O5 P2,8.65376300343869
5652,483.24574,C28 H39 N O2 P2,10.704143962901194
472,526.39857,FAHFA 18:5/16:1,10.001875251947256
2197,287.95036,Triclosan,10.190234603555801
3956,397.26698,397.26698,9.942226412402107
5549,208.84298,208.84298,11.320680123729282
4285,244.76181,244.76181,11.15849601373495
1090,410.24255,LPA 16:0,10.911673972041488
871,308.19560,FAHFA 2:0/16:3,11.95503327213136
6954,299.91505,C6 H Cl O12,11.595847559947735
3889,300.91574,C2 H2 N5 O7 P3,11.74779530831003
5202,278.98474,C3 H11 N3 O6 P2 S,11.364109666078173
3692,287.95051,Triclosan,10.018718549799411
1148,280.16434,C12 H20 N6 O2,10.719588587233574
3485,286.95050,C3 H N3 O13,9.991501581082176
3591,410.24245,LPA 16:0,11.982268683031881
8039,280.98720,C4 H3 N5 O10,10.382005413489336
2868,285.94906,C2 H8 O12 P2,8.847457376721309
4651,295.91627,C H N2 O14 P,10.61462752848412
7851,278.98454,C3 H11 N3 O6 P2 S,10.023425640627266
3809,397.26715,397.26715,9.522861468990522
3895,249.97969,C2 H5 N8 O P3,10.846712745121781
1030,452.25289,LPA 18:2,10.431698432961145
1831,434.24213,LPA 18:2,9.546942666686839
4773,220.85165,C H2 Cl N P2 S3,11.837437868363732
7507,277.98473,C2 H3 N10 O3 P S,10.825563491180688
6544,279.98674,C4 H4 N6 O7 S,11.191104083619688
969,300.01265,C6 H15 N4 O2 P3 S,10.860105143294563
5986,530.17879,Isoswertisin 2''-O-(2'''-methylbutyrate),11.473708725884501
4593,291.95149,C2 H7 N4 O7 P3,9.34549672241889
