"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2023-01-11", "Mass List Match: HMDB Serum metabolites (v5. 40600 cpds)", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla_lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla_lps", "Group CV [%]: cla", "Group CV [%]: cla_lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla_lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla_lps) / (ctrl)", "Ratio: (cla_lps) / (lps)", "Ratio: (no2-cla_lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla_lps) / (ctrl)", "Log2 Fold Change: (cla_lps) / (lps)", "Log2 Fold Change: (no2-cla_lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla_lps) / (ctrl)", "P-value: (cla_lps) / (lps)", "P-value: (no2-cla_lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla_lps) / (ctrl)", "Adj. P-value: (cla_lps) / (lps)", "Adj. P-value: (no2-cla_lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Spleen-H-9.raw (F9)", "Peak Rating: Spleen-H-10.raw (F10)", "Peak Rating: Spleen-H-11.raw (F11)", "Peak Rating: Spleen-H-12.raw (F12)", "Peak Rating: Spleen-H-13.raw (F13)", "Peak Rating: Spleen-H-14.raw (F14)", "Peak Rating: Spleen-H-15.raw (F15)", "Peak Rating: Spleen-H-16.raw (F16)", "Peak Rating: Spleen-H-25.raw (F25)", "Peak Rating: Spleen-H-26.raw (F26)", "Peak Rating: Spleen-H-27.raw (F27)", "Peak Rating: Spleen-H-28.raw (F28)", "Peak Rating: Spleen-H-29.raw (F29)", "Peak Rating: Spleen-H-30.raw (F30)", "Peak Rating: Spleen-H-31.raw (F31)", "Peak Rating: Spleen-H-32.raw (F32)", "Peak Rating: Spleen-H-1.raw (F1)", "Peak Rating: Spleen-H-2.raw (F2)", "Peak Rating: Spleen-H-3.raw (F3)", "Peak Rating: Spleen-H-4.raw (F4)", "Peak Rating: Spleen-H-5.raw (F5)", "Peak Rating: Spleen-H-6.raw (F6)", "Peak Rating: Spleen-H-7.raw (F7)", "Peak Rating: Spleen-H-8.raw (F8)", "Peak Rating: Spleen-H-17.raw (F17)", "Peak Rating: Spleen-H-18.raw (F18)", "Peak Rating: Spleen-H-19.raw (F19)", "Peak Rating: Spleen-H-20.raw (F20)", "Peak Rating: Spleen-H-21.raw (F21)", "Peak Rating: Spleen-H-22.raw (F22)", "Peak Rating: Spleen-H-23.raw (F23)", "Peak Rating: Spleen-H-24.raw (F24)", "Peak Rating: Spleen-H-33.raw (F33)", "Peak Rating: Spleen-H-34.raw (F34)", "Peak Rating: Spleen-H-35.raw (F35)", "Peak Rating: Spleen-H-36.raw (F36)", "Peak Rating: Spleen-H-37.raw (F37)", "Peak Rating: Spleen-H-38.raw (F38)", "Peak Rating: Spleen-H-39.raw (F39)", "Peak Rating: Spleen-H-40.raw (F40)"
"1", "", "False", "Linoleic acid", "C18 H32 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-0.82", "280.24000", "279.23272", "6.565", "842149476.439327", "5", "4", "0", "96.8", "9.8", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "7355537.67491414", " 143495682.293959", " 347287793.39819", " 206400341.767855", " 4334417.53633839", "134.877325910837", " 104.168562486395", " 106.375215339036", " 104.909467204468", " 151.396111355607", "0.021", " 0.594", " 0.012", " 0.695", " 0.021", "-5.56", " -0.75", " -6.32", " -0.52", " -5.57", "0.937617120020799", " 0.99965930178826", " 0.848133226715935", " 0.999050607543347", " 0.747286846047036", "1", " 1", " 1", " 1", " 1", "7.0", "4.3", " 7.0", " 5.8", " 3.6", " 6.2", " 6.6", " 6.6", " 5.8", " 5.8", " 6.6", " 7.0", " 7.0", " 5.1", " 7.0", " 6.6", " 5.5", " 4.7", " 6.6", " 7.0", " 7.0", " 4.3", " 5.5", " 6.6", " 5.8", " 6.6", " 6.2", " 5.8", " 6.6", " 6.6", " 6.6", " 4.7", " 4.3", " 4.7", " 7.0", " 4.3", " 7.0", " 6.6", " 5.5", " 5.8", " 7.0"
"3091", "", "False", "Linoleic acid", "C18 H32 O2", "No match", " Invalid mass", " No results", " No match", " No match", "64267.29", "298.25051", "279.23269", "6.585", "842149476.439327", "7", "4", "0", "97.6", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "OtherDDA", "", "[M-H-H2O]-1", "7355537.67491414", " 143495682.293959", " 347287793.39819", " 206400341.767855", " 4334417.53633839", "134.877325910837", " 104.429863929226", " 106.375215339036", " 104.909467204468", " 151.396111355607", "0.021", " 0.594", " 0.012", " 0.695", " 0.021", "-5.56", " -0.75", " -6.32", " -0.52", " -5.57", "0.938766805059836", " 0.999666549455218", " 0.850630802586616", " 0.998200923712724", " 0.750987190238637", "1", " 1", " 1", " 1", " 1", "7.0", "4.3", " 7.0", " 5.8", " 3.6", " 6.2", " 6.6", " 6.6", " 5.8", " 5.8", " 6.6", " 7.0", " 7.0", " 5.5", " 7.0", " 6.6", " 5.5", " 4.7", " 6.6", " 7.0", " 7.0", " 4.3", " 5.5", " 6.6", " 5.8", " 6.6", " 6.2", " 5.8", " 6.6", " 6.6", " 6.6", " 4.7", " 4.3", " 4.7", " 7.0", " 4.3", " 7.0", " 6.6", " 5.5", " 3.6", " 7.0"
"326", "", "False", "", "C6 H2 Br N2 O6 P", "Full match", " No results", " No results", " No results", " No results", "0.46", "307.88353", "306.87625", "6.169", "827905945.512411", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "84925165.8723263", " 50698478.2796766", " 98276486.1821948", " 78076444.7734942", " 41519763.2791035", "38.1905753478762", " 16.6965570460873", " 139.625777904526", " 30.411117896284", " 16.2776665860758", "0.864", " 0.794", " 0.422", " 0.649", " 0.532", "-0.21", " -0.33", " -1.24", " -0.62", " -0.91", "0.755771224022523", " 0.247072346828977", " 0.00211866810686279", " 0.54641073607073", " 0.287920618143664", "1", " 1", " 0.0449893215357049", " 1", " 1", "3.9", "", " ", " ", " 2.6", " ", " 2.6", " ", " ", " 2.8", " ", " ", " ", " ", " ", " ", " ", " 3.2", " ", " 2.4", " ", " 3.9", " ", " ", " ", " ", " ", " 2.6", " ", " ", " ", " 2.6", " ", " ", " ", " ", " ", " ", " 2.8", " ", " "
"10", "", "False", "", "C20 H38 Cl N O3", "Full match", " No results", " No results", " No results", " No results", "-0.46", "375.25385", "374.24656", "4.984", "716900788.705959", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "171988612.520665", " 189112403.63639", " 71972527.9269506", " 283007200.498602", " 222987220.686061", "84.56418320794", " 67.4682004554931", " 126.130314965501", " 48.8933946032468", " 97.1538111035547", "2.390", " 3.932", " 3.098", " 0.668", " 0.788", "1.26", " 1.98", " 1.63", " -0.58", " -0.34", "0.249049092307301", " 0.061278116183592", " 0.669328529290511", " 0.904255365139008", " 0.602338040769658", "1", " 0.717251265572098", " 1", " 1", " 1", "7.0", "6.2", " 5.8", " 6.6", " 5.5", " 6.6", " 5.1", " 5.8", " 5.8", " 6.6", " 5.5", " 6.2", " 5.1", " 6.6", " 6.6", " 5.5", " 6.6", " 6.6", " 5.8", " 6.6", " 5.8", " 3.6", " 5.1", " 6.2", " 5.5", " 6.2", " 5.8", " 5.8", " 6.6", " 6.6", " 6.2", " 5.8", " 6.2", " 6.2", " 5.8", " 6.2", " 6.2", " 5.5", " 6.2", " 7.0", " 5.8"
"12", "", "False", "9-chloro-10-hydroxy-octadecanoic acid", "C18 H35 Cl O3", "Full match", " No results", " No results", " No results", " Full match", "-0.20", "334.22741", "333.22014", "5.485", "483554873.808714", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "Multiple matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "163308728.143353", " 220488085.291437", " 97273072.7511778", " 213720001.416801", " 194947846.378823", "61.8750152011418", " 55.6624067532933", " 103.836955171769", " 44.5238628055053", " 75.0366745349983", "1.679", " 2.197", " 2.004", " 1.032", " 0.912", "0.75", " 1.14", " 1.00", " 0.04", " -0.13", "0.320980113265663", " 0.139147437124484", " 0.690549523372379", " 0.989348076605384", " 0.807222749041734", "1", " 1", " 1", " 1", " 1", "7.0", "5.8", " 6.6", " 6.6", " 6.6", " 6.2", " 6.6", " 6.6", " 6.6", " 5.8", " 6.6", " 6.6", " 6.2", " 6.6", " 6.6", " 6.2", " 6.2", " 6.6", " 6.6", " 7.0", " 5.8", " ", " 6.2", " 6.6", " 5.8", " 5.8", " 5.8", " 6.6", " 5.5", " 6.6", " 6.6", " 6.6", " 6.6", " 6.6", " 6.2", " 6.6", " 6.6", " 5.5", " 6.6", " 6.6", " 6.6"
"5", "", "False", "Palmitoleic acid", "C16 H30 O2", "Full match", " Full match", " No results", " Full match", " Not the top hit", "-1.27", "254.22426", "253.21698", "6.365", "473912422.072698", "4", "6", "0", "97.6", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "3947108.68941943", " 31525156.2748883", " 156893417.145598", " 54018091.3882025", " 6059224.8497828", "133.82588379113", " 110.59949774611", " 108.293989798669", " 116.629342901423", " 142.063624555819", "0.025", " 0.344", " 0.039", " 0.584", " 0.112", "-5.31", " -1.54", " -4.69", " -0.78", " -3.16", "0.786725162927012", " 0.999312866323974", " 0.791851703728795", " 0.999264336360341", " 0.89763570118165", "1", " 1", " 1", " 1", " 1", "7.0", "4.7", " 6.6", " 4.7", " 3.9", " 6.6", " 4.7", " 6.6", " 5.1", " 4.7", " 7.0", " 6.6", " 6.6", " 4.7", " 6.6", " 6.6", " 5.5", " 5.1", " 6.6", " 6.6", " 3.6", " 5.5", " 5.5", " 7.0", " 6.6", " 7.0", " 5.8", " 7.0", " 7.0", " 5.1", " 6.2", " 5.8", " 3.9", " 5.8", " 6.2", " 5.5", " 7.0", " 6.6", " 5.5", " 4.3", " 7.0"
"3", "", "False", "Myristic acid", "C14 H28 O2", "Full match", " Full match", " No results", " Full match", " Full match", "-2.51", "228.20836", "227.20108", "6.162", "473188920.609338", "1", "2", "0", "98.1", "9.9", "", "No matches found", " No matches found", "", "Multiple matches found", " Single match found", "PreferredDDA", "", "[M-H]-1", "188996818.647447", " 155512456.657142", " 228595489.576959", " 204431347.887253", " 209988419.962488", "15.8724883574978", " 16.6337264831057", " 63.0279890361458", " 24.8229399925593", " 28.3049607767592", "0.827", " 0.894", " 0.919", " 0.761", " 1.027", "-0.27", " -0.16", " -0.12", " -0.39", " 0.04", "0.999980279448636", " 0.994181155360732", " 0.936701778097965", " 0.516535033348276", " 0.99582703245793", "1", " 1", " 1", " 1", " 1", "8.5", "8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 8.5", " 8.1", " 8.1", " 8.1", " 8.1", " 8.1", " 6.6", " 6.6", " 6.6", " 7.0", " 6.6", " 6.6", " 6.6", " 6.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 8.0", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6", " 7.6"
"398", "", "False", "", "C5 H5 N3 O7 S", "Full match", " No results", " No results", " No results", " No results", "1.02", "250.98508", "249.97780", "1.202", "469094539.213679", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "75426614.2744253", " 97984727.4560785", " 58063215.2425789", " 80297436.4554964", " 223145187.518203", "16.0626566559221", " 33.1450616071144", " 61.5447676942486", " 34.4318239873401", " 53.2020383993847", "1.299", " 1.383", " 3.843", " 1.220", " 2.779", "0.38", " 0.47", " 1.94", " 0.29", " 1.47", "0.311135177918049", " 0.500072350586416", " 4.9521156858523E-05", " 0.454464158267935", " 0.00533672806527208", "1", " 1", " 0.00222845205863353", " 1", " 0.404780983940865", "6.0", "", " ", " ", " ", " ", " ", " ", " ", " 5.6", " 5.2", " 6.0", " 5.2", " ", " ", " 6.0", " 5.6", " ", " ", " 4.7", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " 5.1", " ", " ", " 5.1", " "
"320", "", "False", "", "C5 H5 N3 O7 S", "Full match", " No results", " No results", " No results", " No results", "0.93", "250.98505", "249.97778", "1.312", "466781878.891354", "0", "0", "0", "", "", "", "No matches found", " No matches found", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "75333742.6788293", " 97791467.2330263", " 57831980.0269502", " 80270210.0262703", " 222555990.899519", "16.0236799613257", " 33.1806863897728", " 61.5833249171967", " 34.3748546736261", " 53.0952599271155", "1.303", " 1.388", " 3.848", " 1.218", " 2.773", "0.38", " 0.47", " 1.94", " 0.28", " 1.47", "0.309780390605704", " 0.49767330400838", " 5.00156708805877E-05", " 0.453049713049708", " 0.00544298004300936", "1", " 1", " 0.00223910361648404", " 1", " 0.404780983940865", "6.0", "", " ", " ", " ", " ", " ", " ", " ", " 5.6", " 5.2", " 6.0", " 5.2", " ", " ", " 6.0", " 5.6", " ", " ", " 4.7", " ", " ", " ", " ", " ", " ", " ", " ", " ", " 5.2", " ", " ", " ", " ", " ", " ", " 5.1", " ", " ", " 5.1", " "
"7", "", "False", "Cer 18:3;2O/2:0", "C20 H35 N O3", "Full match", " No results", " Full match", " No results", " Partial match", "-0.69", "337.26146", "372.23086", "4.371", "456618830.512915", "0", "0", "1", "", "", "0.4", "Single match found", " No matches found", "", "Single match found", " No matches found", "PreferredDDA", "", "[M+Cl]-1", "33136553.0985684", " 93867592.0341419", " 21302626.6465314", " 123117851.946092", " 39204365.6556647", "144.051754872375", " 87.6857918306244", " 167.077997228387", " 77.7863017305912", " 151.203689790299", "1.556", " 5.779", " 1.840", " 0.762", " 0.318", "0.64", " 2.53", " 0.88", " -0.39", " -1.65", "0.967728945409263", " 0.559679939753552", " 0.983215433097598", " 0.999358834560379", " 0.861595765330987", "1", " 1", " 1", " 1", " 1", "6.2", "", " 6.2", " 4.7", " ", " 5.8", " 5.5", " 5.8", " 6.2", " ", " 6.2", " 5.5", " 6.2", " 5.8", " 5.8", " 6.2", " 6.2", " ", " 5.1", " 6.2", " 6.2", " ", " ", " 5.1", " 6.2", " 5.8", " 6.2", " 5.8", " 5.8", " 6.2", " 6.2", " ", " 5.8", " ", " 6.2", " 5.8", " 6.2", " ", " 6.2", " 6.2", " 6.2"
