Compounds ID,Calc. MW,Name,Total Distance
1,280.24000,Linoleic acid,11.098202829225613
3091,298.25051,Linoleic acid,11.099387157309748
326,307.88353,C6 H2 Br N2 O6 P,11.270123460766108
10,375.25385,C20 H38 Cl N O3,11.77907198196921
5,254.22426,Palmitoleic acid,11.248564446837362
398,250.98508,C5 H5 N3 O7 S,10.799404101044585
320,250.98505,C5 H5 N3 O7 S,10.799142493795872
7,337.26146,Cer 18:3;2O/2:0,11.849875293047294
2,282.25567,Oleic acid,11.287422140201869
286,305.88165,305.88165,11.815908514932945
94,314.24565,NP-008993,11.797447789849492
32,373.23822,C20 H36 Cl N O3,11.911306692914417
1852,391.24893,C20 H38 Cl N O4,11.911312582764257
8,278.22434,Oleic acid alkyne,10.892532886015179
52,306.88153,C3 H2 Br N O11,11.853153853890978
176,306.88174,306.88174,11.784631175094022
146,309.88179,309.88179,11.167880627612632
21,448.09645,C20 H29 Cl O3 S3,11.878461194088139
9,304.24002,Arachidonic acid,11.156070278240128
650,377.25051,C13 H31 N9 O4,11.064531675122883
3276,329.92668,C3 H5 N6 O5 P3 S,11.355522431073998
46,305.88167,305.88167,11.603072432945343
39,402.14930,C18 H33 Cl3 O3,11.449519643222395
219,304.88250,C2 H7 Br N5 P3 S,11.547086706715215
302,307.88335,307.88335,10.88756839789924
62,425.20995,M2 di-hydroxylated metabolite,11.431047703045166
811,233.98240,Protocatechuic acid 3-O-sulfate,10.106497263255593
51,332.21174,C18 H33 Cl O3,11.619251811763288
4539,404.14604,p38 MAP Kinase Inhibitor III,11.564893206496079
446,233.98215,C9 H3 N2 O4 P,9.61178119031193
956,307.88344,C4 H5 Br O9 S,10.255484982448596
127,307.88328,307.88328,11.176277731684246
188,304.88256,C2 H7 Br N5 P3 S,11.441333780155801
42,373.23826,C20 H36 Cl N O3,11.995517415239956
594,337.26126,N-(9Z-hexadecenoyl)-homoserine lactone,11.936578567949706
63,202.80852,202.80852,11.91113215865414
64,430.25955,C22 H39 Cl N2 O4,11.504700891170849
222,466.23616,4-[3-[4-(Diphenylmethyl)-1-piperazinyl]-2-hydroxypropoxy]-1H-indole-2-carbonitrile,11.503506750126483
61,443.17586,C20 H36 Cl3 N O3,11.617973717210285
67,446.09892,C18 H33 Br Cl2 O3,11.86230824418333
