"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2023-01-11", "Mass List Match: HMDB Serum metabolites (v5. 40600 cpds)", "MS2", "Neutral Losses", "Reference Ion", "Group Area: 16h-lps", "Group Area: 16h-lps-cla", "Group Area: 6h-cla-lps", "Group Area: 6h-lps", "Group Area: cla", "Group Area: ctrl", "Group CV [%]: 16h-lps", "Group CV [%]: 16h-lps-cla", "Group CV [%]: 6h-cla-lps", "Group CV [%]: 6h-lps", "Group CV [%]: cla", "Group CV [%]: ctrl", "Ratio: (16h-lps-cla) / (16h-lps)", "Ratio: (6h-lps) / (16h-lps)", "Ratio: (6h-cla-lps) / (16h-lps-cla)", "Ratio: (cla) / (6h-cla-lps)", "Ratio: (6h-cla-lps) / (6h-lps)", "Ratio: (ctrl) / (6h-lps)", "Ratio: (cla) / (ctrl)", "Log2 Fold Change: (16h-lps-cla) / (16h-lps)", "Log2 Fold Change: (6h-lps) / (16h-lps)", "Log2 Fold Change: (6h-cla-lps) / (16h-lps-cla)", "Log2 Fold Change: (cla) / (6h-cla-lps)", "Log2 Fold Change: (6h-cla-lps) / (6h-lps)", "Log2 Fold Change: (ctrl) / (6h-lps)", "Log2 Fold Change: (cla) / (ctrl)", "P-value: (16h-lps-cla) / (16h-lps)", "P-value: (6h-lps) / (16h-lps)", "P-value: (6h-cla-lps) / (16h-lps-cla)", "P-value: (cla) / (6h-cla-lps)", "P-value: (6h-cla-lps) / (6h-lps)", "P-value: (ctrl) / (6h-lps)", "P-value: (cla) / (ctrl)", "Adj. P-value: (16h-lps-cla) / (16h-lps)", "Adj. P-value: (6h-lps) / (16h-lps)", "Adj. P-value: (6h-cla-lps) / (16h-lps-cla)", "Adj. P-value: (cla) / (6h-cla-lps)", "Adj. P-value: (6h-cla-lps) / (6h-lps)", "Adj. P-value: (ctrl) / (6h-lps)", "Adj. P-value: (cla) / (ctrl)", "Peak Rating (Max.)", "Peak Rating: Plasma-27.raw (F27)", "Peak Rating: Plasma-28.raw (F28)", "Peak Rating: Plasma-29.raw (F29)", "Peak Rating: Plasma-30.raw (F30)", "Peak Rating: Plasma-31.raw (F31)", "Peak Rating: Plasma-32.raw (F32)", "Peak Rating: Plasma-33.raw (F33)", "Peak Rating: Plasma-34.raw (F34)", "Peak Rating: Plasma-35.raw (F35)", "Peak Rating: Plasma-36.raw (F36)", "Peak Rating: Plasma-21.raw (F21)", "Peak Rating: Plasma-22.raw (F22)", "Peak Rating: Plasma-23.raw (F23)", "Peak Rating: Plasma-24.raw (F24)", "Peak Rating: Plasma-25.raw (F25)", "Peak Rating: Plasma-26.raw (F26)", "Peak Rating: Plasma-14.raw (F14)", "Peak Rating: Plasma-15.raw (F15)", "Peak Rating: Plasma-16.raw (F16)", "Peak Rating: Plasma-17.raw (F17)", "Peak Rating: Plasma-18.raw (F18)", "Peak Rating: Plasma-19.raw (F19)", "Peak Rating: Plasma-20.raw (F20)", "Peak Rating: Plasma-8.raw (F8)", "Peak Rating: Plasma-9.raw (F9)", "Peak Rating: Plasma-10.raw (F10)", "Peak Rating: Plasma-12.raw (F12)", "Peak Rating: Plasma-1.raw (F1)", "Peak Rating: Plasma-2.raw (F2)", "Peak Rating: Plasma-3.raw (F3)", "Peak Rating: Plasma-4.raw (F4)", "Peak Rating: Plasma-5.raw (F5)", "Peak Rating: Plasma-6.raw (F6)", "Peak Rating: Plasma-7.raw (F7)", "Peak Rating: Plasma-11.raw (F11)"
"1417", "", "False", "cis-dihomoaconitic acid", "C8 H10 O6", "Not the top hit", " No results", " No results", " Full match", " No results", "2.09", "202.04816", "201.04088", "1.434", "574681.563029562", "1", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "148280.112676107", " 139177.899583815", " 361709.254727689", " 277912.454410998", " 450233.699600524", " 359008.536977871", "47.5525410355824", " 81.1090963168268", " 34.0793799270403", " 19.5063706845797", " 31.3544706474657", " 54.5050134767419", "0.939", " 1.874", " 2.599", " 1.245", " 1.302", " 1.292", " 1.254", "-0.09", " 0.91", " 1.38", " 0.32", " 0.38", " 0.37", " 0.33", "0.999939714267516", " 0.276320180280783", " 0.139548766893744", " 0.999327544533308", " 0.97676139057132", " 0.999999991743049", " 0.917108891680593", "1", " 0.800305114739156", " 0.99999999999978", " 1", " 1", " 1", " 1", "6.0", "2.3", " 1.9", " 0.4", " ", " ", " 2.3", " 3.6", " ", " 2.9", " ", " 4.1", " 5.3", " 3.8", " 2.6", " 3.2", " 3.4", " 1.5", " 5.2", " 4.0", " 5.5", " 4.4", " 5.3", " 4.5", " 3.0", " 6.0", " 4.1", " 3.2", " 5.2", " 4.4", " 4.2", " 5.2", " 5.5", " ", " ", " 4.4"
"297", "", "False", "", "", "No results", " No results", " No results", " No results", " No results", "", "202.81216", "201.80488", "1.858", "13081609.7544269", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "194030.583274472", " 561555.264722193", " 310385.699371632", " 703398.077585197", " 853327.783596902", " 207885.795492943", "131.19970650128", " 148.189295485307", " 110.726245842543", " 104.16921121493", " 118.23306345096", " 178.012446243047", "2.894", " 3.625", " 0.553", " 2.749", " 0.441", " 0.296", " 4.105", "1.53", " 1.86", " -0.86", " 1.46", " -1.18", " -1.76", " 2.04", "0.999999999964016", " 0.999986793071364", " 0.999939704542292", " 0.995960214583208", " 0.99851261900592", " 0.999960716651741", " 1", "1", " 1", " 0.99999999999978", " 1", " 1", " 1", " 1", "5.2", "3.3", " ", " ", " 2.6", " 3.8", " 4.0", " ", " 3.0", " ", " 3.9", " 4.8", " 4.6", " 3.9", " ", " 4.9", " ", " 4.1", " 5.0", " 4.9", " 5.0", " ", " 5.2", " ", " 3.4", " ", " 5.0", " 3.7", " 4.5", " 5.2", " 3.8", " 4.5", " 5.0", " 2.8", " 3.2", " "
"1509", "", "False", "", "", "No results", " No results", " No results", " No results", " No results", "", "210.16473", "209.15745", "2.865", "728069.371529643", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "425951.519410282", " 636559.936788402", " 475382.551789455", " 551699.884772117", " 441064.407967803", " 415897.294630112", "39.9574465569681", " 33.7431019135475", " 18.5098965690655", " 17.4313188444951", " 12.1986796642747", " 19.6335689156993", "1.494", " 1.295", " 0.747", " 0.928", " 0.862", " 0.754", " 1.061", "0.58", " 0.37", " -0.42", " -0.11", " -0.21", " -0.41", " 0.08", "0.364492939457659", " 0.177093223245073", " 0.993785804080075", " 0.991976073289562", " 0.948860489247825", " 0.44397599545406", " 0.999976989528595", "1", " 0.553947602310587", " 0.99999999999978", " 1", " 1", " 1", " 1", "5.9", "4.1", " 3.0", " 2.0", " 4.1", " 4.1", " 3.2", " 3.8", " 3.8", " 4.5", " 4.7", " 4.8", " 5.9", " 5.5", " 4.8", " 4.8", " 5.2", " 4.4", " 5.9", " 5.2", " 5.0", " 5.0", " 4.4", " 5.2", " 5.7", " 5.7", " 5.7", " 4.9", " 4.8", " 3.3", " 4.4", " 4.8", " 4.8", " 4.0", " 4.4", " 4.8"
"697", "", "False", "", "", "Unused", " No results", " No results", " No results", " No results", "", "210.95879", "209.95152", "1.786", "637682.885283887", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "49048.2542461509", " 22443.6747595133", " 70294.2129011079", " 47916.0848922781", " 86194.17256944", " 28669.4086265843", "64.5530724635848", " 92.9405953047489", " 104.665611733898", " 123.818076113267", " 107.299183344177", " 210.289083665906", "0.458", " 0.977", " 3.132", " 1.226", " 1.467", " 0.598", " 3.006", "-1.13", " -0.03", " 1.65", " 0.29", " 0.55", " -0.74", " 1.59", "0.999990964629398", " 0.961541391532381", " 0.96017441849246", " 0.999992093316498", " 0.999952573070585", " 0.987475863847456", " 0.992262021539235", "1", " 1", " 0.99999999999978", " 1", " 1", " 1", " 1", "5.2", "3.4", " 1.1", " ", " 1.9", " 4.5", " 0.4", " ", " 0.4", " ", " 4.5", " ", " 4.2", " 4.0", " 2.7", " 4.9", " ", " 5.2", " 1.9", " ", " 4.5", " ", " 2.3", " ", " ", " ", " 5.2", " 0.4", " 2.7", " 0.4", " ", " 1.5", " ", " ", " 4.0", " "
"887", "", "False", "8-Chlorotheophylline", "C7 H7 Cl N4 O2", "No match", " No results", " No results", " No match", " Full match", "-2.13", "214.02530", "213.01802", "2.197", "1162087.53630322", "7", "0", "0", "", "", "", "", "No matches found", " Multiple matches found", "PreferredDDA", "", "[M-H]-1", "249964.961521176", " 367320.169764557", " 690845.213423064", " 552582.383930251", " 444289.80440571", " 371714.325129851", "45.3016110136227", " 67.2640943667086", " 31.2118531042732", " 31.8108233586467", " 31.9374330178419", " 53.6777456329055", "1.469", " 2.211", " 1.881", " 0.643", " 1.250", " 0.673", " 1.195", "0.56", " 1.14", " 0.91", " -0.64", " 0.32", " -0.57", " 0.26", "0.613791815841147", " 0.291775566770985", " 0.668145029752602", " 0.743871847559585", " 0.846286156640438", " 0.424429342616415", " 0.822015954953578", "1", " 0.822886269758842", " 0.99999999999978", " 1", " 1", " 1", " 1", "6.3", "1.1", " 3.6", " 1.9", " ", " 4.0", " 2.5", " 5.4", " 2.5", " 5.0", " 1.7", " 5.5", " 6.3", " 4.4", " 4.5", " 5.1", " 4.1", " 3.0", " 3.8", " 4.4", " 4.5", " 4.5", " 3.0", " 4.4", " 4.1", " 4.4", " 4.1", " 1.9", " 2.9", " 2.5", " 3.3", " 4.0", " 2.5", " 1.1", " 1.7", " 5.4"
"33", "", "False", "", "", "Unused", " No results", " No results", " No results", " No results", "", "214.97368", "213.96641", "2.110", "30826864.8620848", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "30131.9138761373", " 64295.9108665423", " 107507.181512609", " 37182.1663276779", " 56710.3948152937", " 73082.0061327669", "212.583930156835", " 56.4014217548809", " 176.993135274515", " 218.089634010234", " 163.60111260808", " 195.774160976331", "2.134", " 1.234", " 1.672", " 0.528", " 2.891", " 1.966", " 0.776", "1.09", " 0.30", " 0.74", " -0.92", " 1.53", " 0.97", " -0.37", "0.999999968018904", " 0.993127381283296", " 0.746633104365988", " 0.919086898207672", " 0.955323602998601", " 0.999999957360657", " 0.999910743616881", "1", " 1", " 0.99999999999978", " 1", " 1", " 1", " 1", "6.6", "", " 4.8", " ", " ", " ", " ", " 1.9", " 0.0", " 2.3", " 1.5", " 0.0", " 6.2", " 0.4", " 1.5", " 6.6", " ", " 5.8", " 0.8", " 5.2", " ", " ", " ", " ", " 0.4", " ", " 5.0", " 0.0", " 6.0", " 2.5", " ", " 3.3", " 1.1", " ", " ", " "
"718", "", "False", "", "", "Unused", " No results", " No results", " No results", " No results", "", "215.15459", "214.14732", "1.524", "1641715.90498339", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "562796.716500536", " 1252857.0317019", " 678273.138776302", " 872537.350717464", " 709305.15464696", " 704187.775360059", "56.8553854246568", " 49.5068807637529", " 41.007963583335", " 15.1322987614676", " 30.5829796332185", " 27.5846906424596", "2.226", " 1.550", " 0.541", " 1.046", " 0.777", " 0.807", " 1.007", "1.15", " 0.63", " -0.89", " 0.06", " -0.36", " -0.31", " 0.01", "0.278979422282264", " 0.370518511326789", " 0.81219296089312", " 0.99999366045952", " 0.921816304381229", " 0.971670776749122", " 0.998828324393942", "1", " 1", " 0.99999999999978", " 1", " 1", " 1", " 1", "7.1", "3.3", " 3.3", " 1.9", " 3.3", " 5.0", " 2.5", " 5.4", " 4.2", " 5.4", " 4.1", " 4.4", " 4.6", " 4.8", " 5.4", " 5.4", " 4.8", " 6.1", " 4.4", " 6.1", " 5.0", " 6.1", " 5.4", " 5.8", " 5.5", " 5.1", " 4.4", " 3.4", " 5.6", " 7.1", " 3.9", " 4.9", " 5.3", " 2.6", " 4.5", " 5.8"
"754", "", "False", "", "", "Unused", " No results", " No results", " No results", " No results", "", "215.95422", "214.94694", "1.292", "641629.439522441", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "24265.076533476", " 19731.6744579872", " 14651.4388647249", " 16406.3820450017", " 14458.8024583727", " 20403.3757343528", "153.748651518252", " 24.7717484345391", " 144.071128956393", " 225.490301415939", " 144.996847443349", " 99.7838690969266", "0.813", " 0.676", " 0.743", " 0.987", " 0.893", " 1.244", " 0.709", "-0.30", " -0.56", " -0.43", " -0.02", " -0.16", " 0.31", " -0.50", "0.99233228159856", " 0.999999851036144", " 0.770355050778958", " 0.956940329530991", " 0.95325795772288", " 0.999973386372413", " 0.999831664106087", "1", " 1", " 0.99999999999978", " 1", " 1", " 1", " 1", "5.9", "", " 5.3", " ", " ", " ", " ", " ", " ", " ", " ", " ", " 5.9", " ", " ", " 5.5", " ", " 5.9", " ", " 3.4", " ", " ", " ", " ", " ", " ", " 3.8", " 1.9", " 3.4", " 2.7", " ", " ", " ", " ", " ", " "
"1025", "", "False", "cis-trihomoaconitic acid", "C9 H12 O6", "Full match", " No results", " No results", " Full match", " No results", "1.07", "216.06362", "215.05634", "1.396", "874213.773228789", "1", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "379021.460149426", " 242249.322237007", " 373194.25515622", " 372482.300845814", " 200301.373134136", " 162973.420219899", "52.1237623778272", " 80.7376770917297", " 31.3370160877359", " 50.9518471185748", " 27.7603260520134", " 42.5110950992475", "0.639", " 0.983", " 1.541", " 0.537", " 1.002", " 0.438", " 1.229", "-0.65", " -0.03", " 0.62", " -0.90", " 0.00", " -1.19", " 0.30", "0.89607028172864", " 0.963565198478698", " 0.728380466374102", " 0.558666716440948", " 0.994638704846565", " 0.0726567268025095", " 0.999961500956606", "1", " 1", " 0.99999999999978", " 1", " 1", " 0.5260885218478", " 1", "5.9", "1.9", " 5.9", " 1.1", " 2.1", " 1.7", " 1.1", " 5.8", " 2.7", " 4.8", " ", " 4.1", " 4.5", " 4.1", " 3.8", " 2.0", " 2.6", " 3.3", " 2.3", " 3.6", " 2.5", " 3.9", " 2.5", " 5.0", " 3.3", " 2.1", " 1.0", " 1.8", " 1.9", " 1.7", " 0.8", " 2.9", " 1.1", " ", " ", " 0.4"
"788", "", "False", "", "", "Unused", " No results", " No results", " No results", " No results", "", "216.08323", "215.07595", "1.366", "616924.953169061", "0", "0", "0", "", "", "", "", "No matches found", " No matches found", "PreferredDDA", "", "[M-H]-1", "45956.4826351112", " 97252.1926389276", " 18735.0988413498", " 39659.6081167218", " 10006.0636785026", " 17431.4580360681", "107.428557820652", " 138.185705801799", " 124.820853069104", " 148.260599295979", " 15.9430002162368", " 107.615202083853", "2.116", " 0.863", " 0.193", " 0.534", " 0.472", " 0.440", " 0.574", "1.08", " -0.21", " -2.38", " -0.90", " -1.08", " -1.19", " -0.80", "0.992493046444205", " 0.999999760132624", " 0.876913173499213", " 0.697949689925196", " 0.988031732137601", " 0.835243293158227", " 0.882880932014406", "1", " 1", " 0.99999999999978", " 1", " 1", " 1", " 1", "5.5", "", " 4.5", " ", " 4.9", " 4.2", " ", " 5.2", " 3.4", " 2.7", " ", " 4.2", " 4.5", " ", " ", " ", " ", " ", " ", " 5.3", " 2.3", " 5.5", " ", " 4.2", " ", " ", " ", " ", " ", " ", " ", " 0.8", " ", " ", " ", " "
