Compounds ID,Calc. MW,Name,Total Distance
1417,202.04816,cis-dihomoaconitic acid,5.693197327533063
297,202.81216,202.81216,5.310578751743746
1509,210.16473,210.16473,5.829593938641681
697,210.95879,210.95879,5.568697136205237
887,214.02530,8-Chlorotheophylline,5.774324123580584
33,214.97368,214.97368,5.796953661083098
718,215.15459,215.15459,5.672080539741126
754,215.95422,215.95422,5.810927567156476
1025,216.06362,cis-trihomoaconitic acid,5.711804432454557
788,216.08323,216.08323,5.437318291146931
569,218.01240,1-Chlorodibenzo-p-dioxin,5.839756893782492
390,218.01240,1-Chlorodibenzo-p-dioxin,6.167945623452932
613,218.01264,1-Chlorodibenzo-p-dioxin,5.989829871122371
67,220.85423,220.85423,5.719891610583894
77,220.86469,220.86469,5.447552250106786
39,222.09130,triafungin,4.6997486038887395
98,224.03767,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,5.907826461043195
124,224.03768,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,5.919151846031501
71,224.03769,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,5.679486462668352
361,224.03771,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,5.922880006571822
198,224.03780,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,6.11381257741226
172,224.03804,2-(Methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,5.994001313070247
149,224.17983,224.17983,4.204938798434076
908,224.17996,224.17996,5.169715972429507
252,224.85870,224.85870,5.441009422767667
1071,225.03746,Furazolidone,5.9302035646976075
1038,225.03763,Furazolidone,6.238431237721563
105,226.19543,226.19543,3.915340273579045
260,226.19549,226.19549,5.096891156865575
28,228.21106,Myristic acid,5.430571256123273
320,229.16935,229.16935,5.5564686618132715
332,229.16942,229.16942,5.858441807954041
619,230.07843,"Galactitol,1,2:5,6-dianhydro-,diacetate",5.649502171072986
30,232.98731,232.98731,5.599365572944664
232,234.16397,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid",5.697292445078824
113,238.19498,238.19498,5.341341103911457
523,240.06854,240.06854,5.716836836898709
535,240.06856,240.06856,5.684996796527523
1589,240.06865,240.06865,5.968384885644458
1655,240.06877,240.06877,6.2052911909974515
29,240.07646,Dinoterb,4.982501948023923
374,240.17458,240.17458,4.724472246070533
1270,241.97886,241.97886,6.250748644036453
971,242.11709,"1,5-Diphenylcarbazide",5.942998731655742
199,242.19025,242.19025,5.077624329419964
165,242.22606,Pentadecanoic acid,5.331915855275782
122,242.22614,Pentadecanoic acid,5.125826049765109
404,243.18509,243.18509,5.625785297875854
147,243.18516,243.18516,5.743218183938283
35,243.18518,243.18518,5.4869764653278335
1206,248.17884,"16:4(4Z,7Z,10Z,13Z)",4.089843980120964
75,250.15810,"2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-decahydronaphthalen-2-yl]prop-2-enoic acid",5.857745673433542
128,250.19449,"4,7,10-hexadecatrienoic acid",4.5159564422901015
19,251.15340,Furmecyclox,5.56325047598081
148,252.21001,"9,12-hexadecadienoic acid",4.024810963986721
66,252.21003,"9,12-hexadecadienoic acid",5.167459804953238
739,252.21008,"9,12-hexadecadienoic acid",4.864578307971498
661,252.87199,252.87199,5.828281581206173
275,254.18971,254.18971,4.648870357920738
956,254.18972,254.18972,5.441904639604564
9,254.22560,Palmitoleic Acid,5.568735731697128
3,256.24118,Ethyl myristate,5.5968126073486575
26,256.24120,Ethyl myristate,6.205746774075066
21,256.24126,Ethyl myristate,6.25656370116822
70,220.85427,220.85427,5.8412871004619955
108,220.85431,220.85431,5.785910484287531
151,220.85435,220.85435,5.120320470975601
1205,257.83034,257.83034,6.00811152220679
1015,259.82656,259.82656,5.85668931036232
1722,259.82661,259.82661,5.104993864273695
248,260.82368,260.82368,5.253674104048094
303,260.82375,260.82375,5.851455939269217
431,260.82387,260.82387,5.0613032490687475
135,266.15572,NP-021701,6.171784337388631
588,266.22497,7-heptadecynoic acid,5.231849749192261
974,268.20473,9-oxo-7E-hexadecenoic acid,5.231509132474351
97,268.24064,trans-10-Heptadecenoic acid,5.681689295037626
335,270.22027,Ambrettolic acid,6.010020986595271
1429,270.22038,Ambrettolic acid,5.717146179090441
10,270.25623,Margaric acid,6.095681890605217
1248,271.21538,Cer 9:1;2O/6:0,5.41147896141424
1490,272.12643,Asperitaconic acid B,5.994774991140797
1108,272.23543,16-Hydroxyhexadecanoic acid,5.9396959231990385
686,272.23605,16-Hydroxyhexadecanoic acid,6.0741043584112395
1315,274.15774,podocarpic acid,5.797023188881946
99,276.20971,"3E,9Z,12Z,15Z-octadecatetraenoic acid",4.884404090739461
474,277.99970,277.99970,5.932246233472037
946,278.15271,2-Phenyl-4-piperazin-1-yl-1H-benzimidazole,6.119552533849436
11,278.22519,Oleic acid alkyne,5.564851610001118
22,278.22528,a-Eleostearic acid,5.036219406302489
463,280.04843,280.04843,4.880945853111735
4,298.25129,"9(Z),11(E)-Conjugated linoleic acid",5.681370367756817
1,280.24075,"9(Z),11(E)-Conjugated linoleic acid",5.581141961131286
60,280.24085,Linoleic acid,5.313726068275371
2,282.25639,Oleic acid,5.102207006044855
123,284.25085,284.25085,3.7391557777289366
8,284.27206,Stearic acid,6.20498019363388
721,286.12521,286.12521,5.79148153525422
396,290.07735,290.07735,4.8352919220908115
356,292.01529,Carboxyifosfamide,5.862095469443074
