Compounds ID,Calc. MW,Name,Total Distance
875,286.95113,C3 H N3 O13,7.272250813927044
123,311.99559,C3 H5 N8 O8 P,7.176736366994781
1174,313.99794,C5 H6 N4 O12,6.498124933425533
1490,310.99543,Lodoxamide,6.987779749483222
2862,288.95302,C5 H Cl N7 O4 P,7.226164218578859
3112,286.95101,C3 H N3 O13,7.059377079681523
4072,322.96333,C3 H6 N3 O13 P,6.4996191718187095
8104,277.98558,C7 H8 N2 O6 P2,6.811848884719433
751,314.97012,C3 H7 N7 O5 P2 S,7.357511606642194
1009,382.01623,C8 H10 N6 O10 S,7.424228467892015
7877,323.96047,C3 H N8 O9 P,6.729218566047756
