Compounds ID,Calc. MW,Name,Total Distance
1,280.24000,Linoleic acid,10.79659458902266
3091,298.25051,Linoleic acid,10.797279786571648
326,307.88353,C6 H2 Br N2 O6 P,11.411248134929508
10,375.25385,C20 H38 Cl N O3,11.486746399066632
12,334.22741,9-chloro-10-hydroxy-octadecanoic acid,11.817854323427447
5,254.22426,Palmitoleic acid,11.039634048515493
3,228.20836,Myristic acid,11.972546297208716
398,250.98508,C5 H5 N3 O7 S,10.229002479743656
320,250.98505,C5 H5 N3 O7 S,10.230945904737169
7,337.26146,Cer 18:3;2O/2:0,11.706412646685886
2,282.25567,Oleic acid,11.036467215893888
286,305.88165,305.88165,11.806070988113685
94,314.24565,NP-008993,11.647007313656841
32,373.23822,C20 H36 Cl N O3,11.771044332916945
1852,391.24893,C20 H38 Cl N O4,11.770971979276228
8,278.22434,Oleic acid alkyne,10.591401164937869
52,306.88153,C3 H2 Br N O11,11.688813213470933
14,256.23992,Ethyl myristate,11.715770670130395
176,306.88174,306.88174,11.845459663908528
146,309.88179,309.88179,11.442898409135106
21,448.09645,C20 H29 Cl O3 S3,11.752867701377427
9,304.24002,Arachidonic acid,10.844923204533362
34,374.22220,C21 H31 Cl N4,11.76619167222932
650,377.25051,C13 H31 N9 O4,10.719980545758057
548,374.22221,C21 H31 Cl N4,11.864772219297095
3276,329.92668,C3 H5 N6 O5 P3 S,11.48920164036993
46,305.88167,305.88167,11.664381442644524
39,402.14930,C18 H33 Cl3 O3,10.98055793761424
219,304.88250,C2 H7 Br N5 P3 S,11.410983713080695
27,311.24587,Cer 16:2;2O/2:0,11.704891349560585
119,347.22254,C18 H34 Cl N O3,11.704802692058323
28,222.08861,"2E,4E,8E,10E-Dodecatetraenedioic acid",11.827526863610462
302,307.88335,307.88335,10.752320499768732
62,425.20995,M2 di-hydroxylated metabolite,10.991756383699178
811,233.98240,Protocatechuic acid 3-O-sulfate,9.751813076995306
51,332.21174,C18 H33 Cl O3,11.243076386045992
4539,404.14604,p38 MAP Kinase Inhibitor III,11.10310343219177
446,233.98215,C9 H3 N2 O4 P,9.371547498187445
23,376.23781,C20 H37 Cl O4,11.932364553132413
36,340.26127,15S-HpEDE,11.741755009711564
956,307.88344,C4 H5 Br O9 S,10.414400967002596
127,307.88328,307.88328,11.330980013850589
188,304.88256,C2 H7 Br N5 P3 S,11.05078637023609
18,218.00959,C6 H7 N2 O5 P,11.773156295038719
1162,376.25725,"4,7,13,16,21,24-Hexaoxa-1,10-diazabicyclo[8.8.8]hexacosane",11.119077089108412
